patient,drug,n_genes_scored,mean_abs_delta,r,r_responder,n_responders,n_plates_even
ACH-000120,(R)-Verapamil (hydrochloride),19464,0.565,0.0312,,26,True
ACH-000120,(S)-Crizotinib,18279,0.5674,0.0122,,45,False
ACH-000120,18β-Glycyrrhetinic acid,18656,0.6041,0.1202,,38,True
ACH-000120,4EGI-1,18544,0.6282,0.0508,0.6791,159,False
ACH-000120,5-Azacytidine,19111,0.5947,0.0973,0.4269,307,False
ACH-000120,5-Fluorouracil,19167,0.5829,0.0756,0.4427,141,False
ACH-000120,8-Hydroxyquinoline,19031,0.5703,0.0989,,37,True
ACH-000120,9-ING-41,18130,0.6444,-0.058,-0.1249,665,False
ACH-000120,APTO-253,18904,0.6055,0.0138,0.4553,210,False
ACH-000120,AT7519,18052,0.6328,0.0624,0.6771,55,False
ACH-000120,AZD-7648,17915,0.7091,0.0884,0.367,606,False
ACH-000120,AZD-8055,18290,0.6164,0.0405,0.5308,64,False
ACH-000120,AZD1390,18277,0.6363,0.049,0.411,235,False
ACH-000120,AZD2858,17603,0.8191,0.1396,0.314,269,False
ACH-000120,Abemaciclib,15150,0.6799,0.0502,0.4643,645,False
ACH-000120,Abiraterone acetate,19632,0.5696,0.0709,0.6059,122,False
ACH-000120,Acetazolamide,19096,0.613,0.1253,0.4654,436,False
ACH-000120,Acetohexamide,19428,0.5737,0.0563,,9,True
ACH-000120,Adagrasib,26152,0.4088,0.0709,0.8243,282,True
ACH-000120,Adenine,19625,0.5584,0.0682,0.906,56,True
ACH-000120,Adenosine,19497,0.5583,0.0676,,24,True
ACH-000120,Afatinib,22831,0.4913,0.0803,0.0484,110,False
ACH-000120,Aliskiren,19535,0.5566,0.0651,,12,True
ACH-000120,Allantoin,18641,0.6223,0.1599,0.5588,86,True
ACH-000120,Allopurinol,20140,0.5975,0.0806,0.5328,607,False
ACH-000120,Almonertinib (hydrochloride),18602,0.6101,0.152,0.6695,62,True
ACH-000120,Almonertinib (mesylate),21826,0.5047,-0.0133,0.0314,223,True
ACH-000120,Alpelisib,17539,0.6472,0.0624,0.7825,98,False
ACH-000120,Altretamine,17578,0.5856,0.0411,,12,False
ACH-000120,Amsacrine,19007,0.6354,0.087,,21,True
ACH-000120,Anastrozole,18975,0.607,0.0364,,35,False
ACH-000120,Anethole trithione,19812,0.5667,0.0907,0.8877,91,True
ACH-000120,Apalutamide,17147,0.5796,0.0222,,7,False
ACH-000120,Aprepitant,19093,0.5991,0.0973,0.4965,539,False
ACH-000120,Arbutin,16948,0.6097,0.0688,,25,False
ACH-000120,Artemether,19896,0.619,0.1283,0.7598,247,False
ACH-000120,Artesunate,19142,0.5719,0.0845,0.78,105,True
ACH-000120,Asciminib,18892,0.599,0.1177,0.5131,559,False
ACH-000120,Aspirin,19670,0.5865,0.0828,0.6329,177,False
ACH-000120,Ataluren,19626,0.5681,0.0491,0.3792,214,False
ACH-000120,Atazanavir (sulfate),18811,0.6065,0.1474,0.6883,254,False
ACH-000120,Auranofin,19034,0.6412,0.1279,0.3105,279,False
ACH-000120,Azithromycin (hydrate),18864,0.573,0.0852,,11,True
ACH-000120,BAY1125976,18872,0.6058,-0.1239,-0.1794,628,False
ACH-000120,BI-3406,17873,0.6588,0.0843,0.5121,272,False
ACH-000120,BI-78D3,18258,0.6397,0.0176,0.0126,779,False
ACH-000120,Baicalin,19572,0.5727,0.0814,,19,True
ACH-000120,Balsalazide (sodium hydrate),19903,0.5546,0.0554,,19,True
ACH-000120,Belinostat,19001,0.6997,0.1489,0.7311,256,False
ACH-000120,Belumosudil,21877,0.5131,0.0172,0.1051,174,True
ACH-000120,Belumosudil (mesylate),18172,0.6402,0.047,0.4294,212,False
ACH-000120,Belzutifan,17224,0.7699,0.0468,0.4039,160,False
ACH-000120,Bendamustine,17273,0.6046,0.0677,,9,False
ACH-000120,Benproperine (phosphate),18010,0.5908,0.0539,,29,False
ACH-000120,Bentamapimod,18039,0.626,0.0365,0.1624,389,False
ACH-000120,Benztropine (mesylate),19258,0.5453,0.0522,0.474,71,False
ACH-000120,Berbamine,20366,0.5214,0.0268,-0.0453,120,False
ACH-000120,Berbamine (dihydrochloride),21539,0.5174,0.0419,0.5118,197,True
ACH-000120,Berberine (chloride hydrate),19327,0.5651,0.0614,,34,True
ACH-000120,Bergenin,19083,0.566,0.0576,,8,True
ACH-000120,Bestatin,17267,0.5803,0.033,,5,False
ACH-000120,Bestatin (hydrochloride),19025,0.5853,0.0955,0.3544,235,False
ACH-000120,Betamethasone dipropionate,16819,0.6195,0.1004,0.8254,61,False
ACH-000120,Bexarotene,19363,0.6011,0.1176,0.7115,294,False
ACH-000120,Bicalutamide,20076,0.5783,0.0795,0.7452,86,False
ACH-000120,Bimatoprost,19528,0.58,0.0634,,21,True
ACH-000120,Bimiralisib,17571,0.7851,0.147,0.2283,524,False
ACH-000120,Binimetinib,21219,0.6861,0.3415,0.6118,911,True
ACH-000120,Bisoprolol (hemifumarate),16657,0.6388,0.0936,0.3596,101,False
ACH-000120,Bortezomib,17571,0.7469,0.18,0.6081,659,False
ACH-000120,Bosentan (hydrate),17112,0.6058,0.0662,,23,False
ACH-000120,Brimonidine,19161,0.5456,0.022,0.2249,90,False
ACH-000120,Brivudine,18195,0.6764,0.0675,0.299,696,False
ACH-000120,Budesonide,19438,0.6185,0.1144,0.5669,596,False
ACH-000120,Busulfan,19043,0.5901,0.1167,0.6879,56,True
ACH-000120,CP21R7,17908,0.6478,0.0475,0.2978,272,False
ACH-000120,Cabozantinib (S-malate),19137,0.5948,0.0936,0.5466,195,False
ACH-000120,Canagliflozin,16440,0.6273,0.0938,0.518,56,False
ACH-000120,Canagliflozin (hemihydrate),19078,0.6027,0.0809,0.3443,194,False
ACH-000120,Capivasertib,18138,0.617,0.041,0.2589,103,False
ACH-000120,Capmatinib,17975,0.6391,0.0439,0.5016,149,False
ACH-000120,Captopril,20558,0.5249,0.0752,0.2646,223,True
ACH-000120,Carbamazepine,19001,0.588,0.0944,0.541,228,False
ACH-000120,Celecoxib,17828,0.6689,0.0577,0.0497,618,False
ACH-000120,Cepharanthine,18747,0.6291,0.0995,,25,True
ACH-000120,Chlorhexidine (diacetate),20693,0.5107,0.0312,0.3071,118,False
ACH-000120,Ciclopirox,18647,0.5793,0.1277,,40,True
ACH-000120,Cilostazol,17805,0.5978,0.0767,,31,False
ACH-000120,Cinacalcet,19154,0.5782,0.0774,0.5356,181,False
ACH-000120,Citalopram (hydrobromide),19953,0.582,0.0743,0.6601,163,False
ACH-000120,Clobetasol propionate,18859,0.6035,0.1201,0.4699,230,False
ACH-000120,Clofarabine,17534,0.5873,0.0491,,1,False
ACH-000120,Clonidine (hydrochloride),20270,0.5523,0.0842,,49,True
ACH-000120,Clopidogrel,19239,0.5994,0.0869,0.5325,464,False
ACH-000120,Clotrimazole,19118,0.5793,0.1021,0.7711,53,True
ACH-000120,Cloxacillin (sodium),19439,0.536,0.0368,,7,True
ACH-000120,Cobimetinib,16367,0.6791,0.1869,,37,False
ACH-000120,Crizotinib (hydrochloride),19273,0.6099,0.1129,0.6508,334,False
ACH-000120,Cyclosporin A,19378,0.6172,0.1282,0.7559,334,False
ACH-000120,Cysteamine (hydrochloride),19316,0.5606,0.0516,,14,True
ACH-000120,Cytarabine,21753,0.5345,0.0544,0.2525,183,True
ACH-000120,Cytarabine (hydrochloride),17861,0.5983,0.0529,,32,False
ACH-000120,DT-061,17974,0.6342,0.0455,0.3931,132,False
ACH-000120,DTP3,13792,0.6588,0.0203,0.0889,257,False
ACH-000120,Dabrafenib,19250,0.6156,0.0083,0.4082,286,False
ACH-000120,Daidzin,21718,0.5123,0.02,0.24,228,True
ACH-000120,Dapagliflozin,20416,0.5561,0.0824,0.6102,66,False
ACH-000120,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",16502,0.6246,0.083,0.6405,84,False
ACH-000120,Darinaparsin,19040,0.5692,0.0733,,37,True
ACH-000120,Darolutamide,19308,0.6176,0.1546,0.6958,317,False
ACH-000120,Decitabine,16527,0.6888,0.179,0.504,211,False
ACH-000120,Delamanid,19212,0.5831,0.0873,0.7827,277,False
ACH-000120,Demeclocycline,19130,0.5597,0.0649,,14,True
ACH-000120,Dexamethasone,18955,0.579,0.0955,0.772,210,False
ACH-000120,Dexmedetomidine,18051,0.6052,0.079,,9,False
ACH-000120,Diammonium Glycyrrhizinate,18984,0.5601,0.0491,,45,True
ACH-000120,Digitoxin,18954,0.8706,0.3653,0.8229,2064,False
ACH-000120,Dihydroartemisinin,18735,0.591,0.112,0.4862,90,False
ACH-000120,Dimethyl fumarate,17415,0.5732,0.0155,,5,False
ACH-000120,Dinaciclib,16291,1.2676,0.6083,0.8183,814,False
ACH-000120,Diphenhydramine,18202,0.5922,0.063,0.8077,96,False
ACH-000120,Docetaxel,19456,0.6046,0.1125,0.488,388,True
ACH-000120,Docetaxel (Trihydrate),17649,0.6068,0.0783,,14,False
ACH-000120,Dorzolamide (hydrochloride),17067,0.6268,0.0944,0.4772,64,False
ACH-000120,Doxorubicin (hydrochloride),17200,0.6691,0.1257,0.7697,62,False
ACH-000120,Doxycycline (monohydrate),17066,0.5953,0.0438,,25,False
ACH-000120,Drospirenone,19318,0.5956,0.1078,0.6069,246,False
ACH-000120,ERK5-IN-2,18788,0.6141,-0.0228,0.0472,503,False
ACH-000120,ETC-206,18145,0.6237,0.0437,0.467,150,False
ACH-000120,EX229,18375,0.6644,0.0709,0.4447,811,False
ACH-000120,Econazole,19309,0.5679,0.0493,0.1891,284,False
ACH-000120,Elagolix sodium,19067,0.5883,0.093,,21,True
ACH-000120,Elimusertib hydrochloride,17659,0.6835,0.1035,0.5526,557,False
ACH-000120,Encorafenib,17861,1.0143,-0.0962,-0.1709,103,False
ACH-000120,Entecavir (monohydrate),17166,0.563,-0.0015,,13,False
ACH-000120,Entrectinib,19415,0.5841,0.0754,0.4856,158,False
ACH-000120,Epirubicin (hydrochloride),16819,0.6447,0.0992,,35,False
ACH-000120,Eplerenone,17390,0.5847,0.056,,6,False
ACH-000120,Erdafitinib ,17517,1.0728,0.0486,-0.1487,85,False
ACH-000120,Erlotinib,17999,0.5914,0.0381,,40,False
ACH-000120,Erythromycin,19524,0.585,0.1056,0.6069,85,False
ACH-000120,Esmolol (hydrochloride),19814,0.5514,0.0315,,32,False
ACH-000120,Estrone sulfate (potassium),18916,0.6237,0.1441,0.2993,410,False
ACH-000120,Everolimus,19506,0.5893,0.0425,0.5701,81,False
ACH-000120,Fedratinib (hydrochloride hydrate),18983,0.6214,0.1356,0.6744,333,False
ACH-000120,Fenofibrate,17926,0.5787,0.0355,,41,False
ACH-000120,Ferulic acid,17207,0.6163,0.0966,,33,False
ACH-000120,Filgotinib,19719,0.5604,0.0512,0.6754,68,False
ACH-000120,Finasteride,17394,0.5809,0.026,,10,False
ACH-000120,Fingolimod (hydrochloride),19312,0.5697,0.066,0.6703,87,False
ACH-000120,Flumatinib (mesylate),21226,0.5265,0.0533,0.1458,133,True
ACH-000120,Flutamide,18966,0.5768,0.0915,0.5528,166,False
ACH-000120,Fluvoxamine,17748,0.6084,0.0787,,22,False
ACH-000120,Fluvoxamine (maleate),18950,0.5668,0.0762,,10,True
ACH-000120,Folic acid,19847,0.5425,0.0388,,33,True
ACH-000120,Fulvestrant,19546,0.5862,0.0761,0.5856,225,False
ACH-000120,Fumaric acid,21822,0.5128,0.002,0.1254,114,True
ACH-000120,Furosemide,19164,0.5536,0.0519,,13,True
ACH-000120,Fusidic acid,19488,0.5519,0.0519,,10,True
ACH-000120,Futibatinib,17902,0.6736,0.0669,0.2731,457,False
ACH-000120,GSK1059615,17477,0.7617,0.1314,0.231,657,False
ACH-000120,Gallic acid,19274,0.5547,0.0664,0.6164,54,True
ACH-000120,Gallic acid (hydrate),18968,0.5981,0.1056,0.7473,51,True
ACH-000120,Gefitinib,19880,0.5598,0.0646,0.6694,77,False
ACH-000120,Gemcitabine,19149,0.6207,0.0631,0.5376,171,False
ACH-000120,Gemfibrozil,18810,0.5848,0.0972,,40,True
ACH-000120,Glycyrrhizic acid,16273,0.7022,0.1012,-0.0857,220,False
ACH-000120,Goserelin (acetate),19830,0.5531,0.0557,,29,True
ACH-000120,HI-TOPK-032,18234,0.6452,0.0617,0.2402,460,False
ACH-000120,Harringtonine,16652,0.7071,0.0812,0.5263,158,False
ACH-000120,Hesperidin,17153,0.6259,0.085,,20,False
ACH-000120,Hexylresorcinol,19781,0.5733,0.0861,,21,True
ACH-000120,Homoharringtonine,19443,0.8783,0.4179,0.8733,1912,True
ACH-000120,Hydroxyfasudil,17942,0.7572,0.1157,0.2621,487,True
ACH-000120,Hydroxyurea,16679,0.5973,0.0554,,23,False
ACH-000120,IQ 1,17689,0.6633,0.0872,0.3745,375,False
ACH-000120,Idarubicin (hydrochloride),18744,1.1183,0.5427,0.7951,831,True
ACH-000120,Idoxuridine,18805,0.6152,0.1379,0.5865,398,False
ACH-000120,Imiquimod (hydrochloride),19116,0.5916,0.0734,0.5478,249,False
ACH-000120,Imiquimod (maleate),16935,0.6035,0.0734,,8,False
ACH-000120,Indacaterol (maleate),19747,0.586,0.0846,0.6334,248,False
ACH-000120,Infigratinib,18073,0.6356,0.0638,0.8013,100,False
ACH-000120,Ipatasertib,17816,0.7338,-0.0055,-0.104,849,False
ACH-000120,Irinotecan,18947,0.6113,0.0603,0.7196,64,False
ACH-000120,Irinotecan (hydrochloride),20857,0.5186,0.0104,-0.0745,556,True
ACH-000120,Isocorydine,19440,0.5623,0.0595,,9,True
ACH-000120,Ivermectin,19275,0.5731,0.072,0.715,93,False
ACH-000120,Ixazomib,18070,0.6264,0.0519,0.7473,58,False
ACH-000120,Ixazomib citrate,19421,0.6455,0.1225,0.6185,126,False
ACH-000120,L-Eflornithine (monohydrochloride),18808,0.6059,0.1213,0.4501,368,False
ACH-000120,L-Thyroxine (sodium salt pentahydrate),18476,0.7078,0.1335,0.362,52,True
ACH-000120,LB-100,18647,0.6207,0.0335,0.2493,115,False
ACH-000120,LJI308,17439,0.6885,0.1284,0.278,516,False
ACH-000120,LY-2584702 (tosylate salt),17343,0.7237,0.1213,0.4404,545,False
ACH-000120,LY2090314,18396,0.6086,0.033,0.5192,51,False
ACH-000120,Lactate (calcium),19848,0.5811,0.0665,0.1961,100,False
ACH-000120,Lapatinib ditosylate,18362,0.5977,0.0365,0.4907,61,False
ACH-000120,Larotrectinib,19413,0.6179,0.1078,,26,True
ACH-000120,Lenalidomide (hemihydrate),18494,0.5756,0.115,,40,True
ACH-000120,Levobupivacaine (hydrochloride),18250,0.5795,0.0349,,15,False
ACH-000120,Lidocaine (hydrochloride),18276,0.7208,0.2409,0.5654,87,True
ACH-000120,Ligustrazine,17457,0.595,0.06,,10,False
ACH-000120,Lipoic acid,19648,0.5408,0.0473,,9,True
ACH-000120,Lonafarnib,18675,0.6055,0.0177,,39,False
ACH-000120,Loperamide (hydrochloride),18908,0.6028,0.1226,0.4196,322,False
ACH-000120,Lopinavir,19497,0.5901,0.1021,0.7577,259,False
ACH-000120,Lucanthone,19628,0.5717,0.019,0.6943,342,False
ACH-000120,Lumateperone (tosylate),19472,0.5534,0.0588,,7,True
ACH-000120,MK-3903,18084,0.6541,0.0465,0.1444,330,False
ACH-000120,MK-8353,18059,0.6237,0.049,0.6735,82,False
ACH-000120,ML264,18598,0.6145,0.0234,0.1657,276,False
ACH-000120,Macitentan,17639,0.581,0.0282,,3,False
ACH-000120,Malotilate,20402,0.5959,0.181,0.57,684,True
ACH-000120,Mebendazole,17246,0.6116,0.0829,,30,False
ACH-000120,Medroxyprogesterone acetate,18443,0.6287,0.1646,,46,True
ACH-000120,Megestrol,19739,0.549,0.0472,,25,True
ACH-000120,Meloxicam,18926,0.6078,0.1216,0.5607,197,False
ACH-000120,Menadione,16762,0.6193,0.0725,,46,False
ACH-000120,Methotrexate,18923,0.5891,0.1016,0.61,145,False
ACH-000120,Methyl aminolevulinate (hydrochloride),19445,0.5685,0.0634,0.5618,314,False
ACH-000120,Methylprednisolone succinate,18190,0.8465,0.1365,0.5938,682,True
ACH-000120,Methylthiouracil,20173,0.5498,0.0415,0.4662,113,False
ACH-000120,Mifepristone,17001,0.5993,0.0547,,30,False
ACH-000120,Minodronic acid,18889,0.6323,0.0569,0.7925,86,False
ACH-000120,Mitoxantrone (dihydrochloride),18884,0.675,0.1016,0.6414,103,True
ACH-000120,Monocrotaline,16567,0.61,0.0587,,16,False
ACH-000120,Mozavaptan,17087,0.5952,0.0428,,7,False
ACH-000120,NG25,17671,0.6485,0.0521,0.4447,155,False
ACH-000120,NVP-BHG712,18222,0.6582,0.0241,0.1209,528,False
ACH-000120,Nafamostat (mesylate),19169,0.623,0.15,0.4882,454,False
ACH-000120,Naproxen,21228,0.528,0.0531,0.1127,64,True
ACH-000120,Neratinib,18924,0.5695,0.0722,0.4396,116,False
ACH-000120,Neratinib (maleate),19062,0.6094,0.1273,,38,True
ACH-000120,Nevirapine,17417,0.5895,0.0603,,27,False
ACH-000120,Niclosamide (olamine),18076,0.6344,0.0544,,14,False
ACH-000120,Norepinephrine (hydrochloride),18899,0.5717,0.085,,22,True
ACH-000120,OTS514,17443,0.6449,0.0573,0.4712,150,False
ACH-000120,Olanzapine,19322,0.5761,0.068,,30,True
ACH-000120,Oleic acid,18792,0.6208,0.0459,0.6345,107,False
ACH-000120,Omeprazole,20138,0.5587,0.0355,0.7245,58,False
ACH-000120,Omeprazole (sodium),20057,0.5727,0.0686,0.5666,188,False
ACH-000120,Orlistat,16708,0.6154,0.101,,37,False
ACH-000120,Osimertinib (mesylate),19212,0.5991,0.1087,0.7394,243,False
ACH-000120,Ouabain (Octahydrate),20245,0.8576,0.3188,0.8088,2433,False
ACH-000120,Oxaliplatin,18485,0.6388,0.0792,0.7115,185,False
ACH-000120,Oxaprozin,18757,0.6661,0.1989,0.3977,404,False
ACH-000120,PF-06260933,14704,0.7079,0.0174,0.1878,343,False
ACH-000120,PH-797804,17863,0.7088,-0.0311,-0.0215,724,False
ACH-000120,Paclitaxel,19244,0.5941,0.017,0.3037,110,False
ACH-000120,Palmatine (chloride),19009,0.558,0.0333,0.6242,52,True
ACH-000120,Panobinostat,20737,0.9339,0.4191,0.8627,1903,False
ACH-000120,Pasireotide (acetate),20004,0.5612,0.0734,,32,True
ACH-000120,Pemetrexed,17568,0.6116,0.0709,,38,False
ACH-000120,Pemigatinib,17298,0.9132,0.1487,0.0371,240,False
ACH-000120,Penfluridol,17623,0.6209,0.0874,,25,False
ACH-000120,Pentagastrin,19550,0.5528,0.0583,,31,True
ACH-000120,Pentamidine (isethionate),20281,0.5497,0.1179,0.5372,74,False
ACH-000120,Pentoxifylline,18667,0.6285,0.157,0.5666,361,False
ACH-000120,Peretinoin,17924,0.6169,0.0604,,40,False
ACH-000120,Perindopril (erbumine),20189,0.5314,0.0143,,17,False
ACH-000120,Pexidartinib (hydrochloride),17834,0.5787,0.0439,,12,False
ACH-000120,Phenylephrine (hydrochloride),19015,0.5845,0.0959,0.2755,295,False
ACH-000120,Phenytoin (sodium),17493,0.5995,0.0596,,17,False
ACH-000120,Pimitespib,17796,0.655,0.0772,0.4492,266,False
ACH-000120,Pimozide,18240,0.706,0.2428,0.265,196,False
ACH-000120,Pioglitazone,19101,0.5901,0.0805,0.5583,243,False
ACH-000120,Piroxicam,19244,0.6064,0.1041,0.6226,519,False
ACH-000120,Pitavastatin (Calcium),16930,0.636,0.1021,,31,False
ACH-000120,Ponatinib,19332,0.5946,0.0786,0.6141,159,False
ACH-000120,Posaconazole,17354,0.5843,0.063,,12,False
ACH-000120,Pralsetinib,19344,0.583,0.0414,0.4781,278,True
ACH-000120,Pravastatin (sodium),21015,0.4933,-0.024,-0.1915,226,True
ACH-000120,Procainamide (hydrochloride),17404,0.5988,0.0684,,11,False
ACH-000120,Proglumide,19028,0.5747,0.096,0.5379,68,False
ACH-000120,Pyridoxine,18857,0.5743,0.0655,,32,True
ACH-000120,Pyridoxine (hydrochloride),20178,0.5455,0.0664,0.7531,61,True
ACH-000120,Quinestrol,19660,0.5531,0.0525,,14,True
ACH-000120,Quinidine (15% dihydroquinidine),17915,0.576,0.039,,7,False
ACH-000120,RMC-6236,17970,0.6411,0.0321,0.3286,196,False
ACH-000120,Radotinib,18895,0.6001,0.1015,0.7027,380,True
ACH-000120,Ralimetinib dimesylate,18071,0.8383,0.1246,0.4954,577,True
ACH-000120,Raltitrexed,19766,0.5617,0.0631,,15,True
ACH-000120,Ranolazine,18700,0.5709,0.1024,0.1228,87,False
ACH-000120,Rapamycin,19508,0.5811,0.0759,,23,True
ACH-000120,Regorafenib,19561,0.5507,0.0328,-0.0519,207,True
ACH-000120,Relugolix,19643,0.5456,0.0505,,9,True
ACH-000120,Resveratrol,18677,0.5951,0.1266,0.6499,111,True
ACH-000120,Retinoic acid,19710,0.5676,0.0571,0.8675,81,True
ACH-000120,Rifaximin,17246,0.5852,0.045,,4,False
ACH-000120,Riluzole hydrochloride,19618,0.5689,0.0672,,32,True
ACH-000120,Rimonabant,19324,0.5594,0.0554,,18,True
ACH-000120,Ritonavir,18998,0.5716,0.079,,18,True
ACH-000120,Ropivacaine (hydrochloride monohydrate),18738,0.5887,0.104,0.5443,59,True
ACH-000120,Rosiglitazone,17607,0.597,0.0626,,27,False
ACH-000120,Roxadustat,16703,0.6132,0.0711,0.6524,124,False
ACH-000120,Rucaparib (phosphate),17879,0.5729,0.0343,,4,False
ACH-000120,Rutin (trihydrate),18662,0.58,0.0467,0.7225,131,False
ACH-000120,S-Adenosyl-L-methionine (disulfate tosylate),19123,0.5771,0.0977,0.925,60,True
ACH-000120,SBI-0640756,17848,1.1248,0.0589,0.0356,118,False
ACH-000120,Sacubitril/Valsartan,17979,0.6,0.0613,,26,False
ACH-000120,Salicylic acid,19575,0.5801,0.0839,,26,True
ACH-000120,Sapanisertib,18869,0.6121,-0.1001,-0.3877,880,False
ACH-000120,Saquinavir,18153,0.65,0.2264,0.4004,86,True
ACH-000120,Selinexor ,18762,0.6933,0.2272,0.6313,155,True
ACH-000120,Sildenafil,18053,0.5727,0.0447,,6,False
ACH-000120,Silodosin,16947,0.5982,0.0613,,12,False
ACH-000120,Simotinib,16693,0.6065,0.0757,,5,False
ACH-000120,Sinomenine,19087,0.5677,0.0987,,34,True
ACH-000120,Sivelestat (sodium tetrahydrate),17621,0.5813,0.0518,,23,False
ACH-000120,Sodium Salicylate,19377,0.5938,0.0926,,35,True
ACH-000120,Sonidegib,17816,0.9248,0.2184,0.6558,1037,True
ACH-000120,Sulfatinib,17361,0.584,0.039,,8,False
ACH-000120,Sulfisoxazole,20212,0.576,0.1591,0.242,312,False
ACH-000120,Sunitinib,18443,0.7139,0.2589,0.6479,604,False
ACH-000120,TAK-733,18291,0.6515,0.0644,0.6251,196,False
ACH-000120,TAK-901,18077,0.7577,0.0823,0.377,943,False
ACH-000120,Tadalafil,17085,0.5889,0.0348,,9,False
ACH-000120,Talc,18802,0.5899,0.1192,0.5732,277,False
ACH-000120,Tazarotene,19716,0.6408,0.1691,0.7318,324,False
ACH-000120,Temsirolimus,19042,0.5797,0.08,0.789,75,True
ACH-000120,Temuterkib,18556,0.6141,-0.0006,0.0864,357,False
ACH-000120,Terfenadine,19880,0.5636,0.1322,0.1618,600,False
ACH-000120,Tetracycline (hydrochloride),17311,0.5742,0.0434,,16,False
ACH-000120,Thymol,18565,0.5991,0.1095,,13,True
ACH-000120,Thymopentin,17750,0.5954,0.0513,,9,False
ACH-000120,Tirabrutinib,18630,0.5842,0.047,0.8068,161,False
ACH-000120,Tirabrutinib (hydrochloride),19831,0.6046,0.0916,0.5381,448,False
ACH-000120,Tofacitinib,18993,0.6049,0.1464,,32,True
ACH-000120,Tofacitinib (citrate),19177,0.5706,0.0507,,13,True
ACH-000120,Tolcapone,19051,0.5662,0.0775,,20,True
ACH-000120,Tolmetin,17583,0.6039,0.0557,,19,False
ACH-000120,Tomivosertib,18001,0.6411,0.0706,0.4311,300,False
ACH-000120,Topotecan (hydrochloride),21132,0.571,0.0641,-0.0067,110,True
ACH-000120,Torkinib,18097,0.6516,0.0574,0.3543,251,False
ACH-000120,Trametinib,21184,0.6699,0.2868,0.5033,1245,True
ACH-000120,Trametinib (DMSO_TF solvate),17520,0.6573,0.0958,0.7698,160,False
ACH-000120,Tranilast,17479,0.5761,0.0361,,8,False
ACH-000120,Triamcinolone,18868,0.5878,0.1204,,33,True
ACH-000120,Triclosan,19146,0.5706,0.0748,,24,True
ACH-000120,Trifluridine,18799,0.5665,0.1,,34,True
ACH-000120,Trimetrexate,18743,0.598,0.1322,0.7694,53,True
ACH-000120,Tubulin inhibitor 6,18635,0.6173,0.0417,0.7968,121,False
ACH-000120,Tucatinib,18550,0.6128,0.0601,0.7628,117,False
ACH-000120,Tucidinostat,19431,0.7495,0.1932,,29,True
ACH-000120,ULK-101,17550,0.7064,0.1268,0.31,466,False
ACH-000120,Uridine,20057,0.5487,0.0415,0.7445,53,False
ACH-000120,Valdecoxib,18556,0.6455,0.1768,0.4456,202,False
ACH-000120,Vandetanib,18722,0.6495,0.1885,0.5761,439,False
ACH-000120,Vemurafenib,19248,0.5994,0.0457,0.5234,145,False
ACH-000120,Verapamil,17387,0.5852,0.0322,,4,False
ACH-000120,Verteporfin,17639,0.6877,0.1787,,49,False
ACH-000120,Vilanterol,18713,0.5725,0.0972,,38,True
ACH-000120,Vinblastine (sulfate),19168,0.651,0.1266,0.7829,164,True
ACH-000120,Vismodegib,19115,0.5742,0.085,0.5648,118,False
ACH-000120,Vitamin K4,19465,0.594,0.0998,0.4657,170,False
ACH-000120,Volasertib,18855,0.6125,0.0432,0.6377,75,False
ACH-000120,Voriconazole,19240,0.5672,0.0524,0.532,129,False
ACH-000120,Vortioxetine,19062,0.5867,0.0898,0.5748,252,False
ACH-000120,XRK3F2,17492,0.7752,0.0617,-0.1381,566,False
ACH-000120,Zileuton,19266,0.5684,0.0764,0.386,182,False
ACH-000120,c-Kit-IN-1,15051,0.7137,0.1151,0.5086,1004,False
ACH-000120,crizotinib,17715,0.5812,0.0488,,6,False
ACH-000120,olaparib,18697,0.7724,0.0509,0.2906,120,True
ACH-000120,palbociclib,17950,0.6305,0.0333,0.5527,105,False
ACH-000120,venetoclax,18201,0.6511,0.0533,0.6151,108,False
ACH-000120,vincristine,17538,0.731,0.1028,0.3931,729,False
ACH-000120,γ-Oryzanol,19415,0.5634,0.0685,0.4567,64,False
ACH-000138,(R)-Verapamil (hydrochloride),28271,0.4768,0.0723,0.4013,1646,True
ACH-000138,(S)-Crizotinib,25835,0.507,0.0329,0.595,1147,False
ACH-000138,18β-Glycyrrhetinic acid,27633,0.5163,0.1429,0.68,1162,True
ACH-000138,4EGI-1,27298,0.5478,0.1014,0.6088,3099,False
ACH-000138,5-Azacytidine,26751,0.5302,0.0868,0.4159,1733,False
ACH-000138,5-Fluorouracil,26788,0.5251,0.1042,0.5165,1533,False
ACH-000138,8-Hydroxyquinoline,27982,0.5084,0.1387,0.7952,1536,True
ACH-000138,9-ING-41,27009,0.5667,0.015,-0.0598,4490,False
ACH-000138,APTO-253,27587,0.5217,0.0729,0.3923,3020,False
ACH-000138,AT7519,27340,0.5137,0.0843,0.5499,2005,False
ACH-000138,AZD-7648,26900,0.6065,0.1599,0.4382,3538,False
ACH-000138,AZD-8055,27484,0.5632,0.1012,0.5266,3572,False
ACH-000138,AZD1390,27118,0.5454,0.1129,0.4747,3014,False
ACH-000138,AZD2858,26345,0.8426,0.2738,0.3365,1637,False
ACH-000138,Abemaciclib,24928,0.5961,0.1085,0.3864,5700,False
ACH-000138,Abiraterone acetate,27354,0.5293,0.0757,0.4076,2308,False
