gene,n_pairs,r
MRPS2,17653,0.129
ABHD14B,17622,0.129
LINC00967,752,0.129
MAN2B1,18029,0.129
TMEM203,16699,0.129
FOXA1,16404,0.129
CROT,17764,0.129
MYH15,17091,0.129
RPSAP54,233,0.129
YPEL5,18206,0.129
ZNF574,17510,0.129
IL21-AS1,9185,0.1289
GABARAPL2,18183,0.1289
EEF1A1P22,13650,0.1289
ENSG00000286677,15871,0.1289
DPP9,18141,0.1289
NKX2-6,1564,0.1289
LINC01243,1485,0.1289
ENSG00000261786,11094,0.1289
EPB41L5,18319,0.1289
ENSG00000280164,882,0.1288
ENSG00000249309,1409,0.1288
ENSG00000218048,6516,0.1288
ATAD3B,17702,0.1288
CNOT1,18320,0.1288
CYB5D1,17655,0.1288
GTF2E1,17762,0.1288
DEPTOR,17566,0.1288
HCLS1,17287,0.1288
ENSG00000229848,17053,0.1288
ANKIB1,18329,0.1288
APTR,18046,0.1288
REV1,18268,0.1288
ENSG00000277651,44,0.1288
FRMD8,17960,0.1288
ADAM28,17649,0.1287
ENSG00000230908,255,0.1287
ENSG00000254288,9783,0.1287
PTOV1,18052,0.1287
IL32,17945,0.1287
ENSG00000287093,17159,0.1287
ENSG00000230690,439,0.1287
CNPY3,17780,0.1287
ENSG00000227512,501,0.1287
H3-3A,17850,0.1287
SNIP1,18108,0.1287
ENSG00000232431,1371,0.1287
DNAH7,17470,0.1287
PSRC1,17519,0.1287
ACSL5,17845,0.1287
SKIC2,17697,0.1287
AMY1B,273,0.1286
CDK5RAP1,18112,0.1286
ENSG00000242140,12611,0.1286
HNRNPA1P10,12498,0.1286
ENSG00000287712,16451,0.1286
MASP2,17063,0.1286
TIMM50,17758,0.1286
ENSG00000250977,25,0.1286
CEP68,17921,0.1286
ENSG00000259341,8289,0.1286
ENSG00000280333,639,0.1286
NXF2B,378,0.1286
PPP1R15B-AS1,17672,0.1286
SLC29A1,17638,0.1286
CASC2,17787,0.1285
ENSG00000286600,8299,0.1285
SEH1L,18160,0.1285
KCNJ14,17791,0.1285
LINC02682,1095,0.1285
INSL4,3507,0.1285
TGFB1I1,16949,0.1285
ENSG00000286281,12764,0.1285
RHOBTB3,18306,0.1285
COL21A1,16959,0.1285
HCG17,17783,0.1285
TSC2,18018,0.1285
ARPC4-TTLL3,16437,0.1285
OVOL1,13940,0.1285
KPNB1-DT,18033,0.1285
PLEKHA8P1,17739,0.1285
SPRY3,17701,0.1284
LINC00430,3194,0.1284
TUBGCP3,18226,0.1284
PCF11,18293,0.1284
ADAMTS3,16106,0.1284
RMND1,18007,0.1284
TAMM41,17912,0.1284
HECTD4,18328,0.1284
GTF2I-AS1,18225,0.1284
ZFP90,17933,0.1284
DNER,18243,0.1283
ENSG00000231412,7517,0.1283
YWHAB,18326,0.1283
ENSG00000284624,17391,0.1283
MAPKAP1,18322,0.1283
SZRD1,18277,0.1283
VPS26B,17793,0.1283
ADAMTSL1,17410,0.1283
PDE3A,18197,0.1283
DENND4B,17909,0.1283
DNAJC18,17723,0.1283
DLG5,18151,0.1283
LINC02392,10905,0.1282
ENSG00000232353,2445,0.1282
LFNG,16113,0.1282
PDE7B,17939,0.1282
CCDC150,17891,0.1282
ENSG00000283149,16360,0.1282
ENSG00000287925,16146,0.1282
LINC01094,13978,0.1282
ENSG00000255381,2394,0.1282
CCDC138,18294,0.1281
C2CD4D-AS1,13607,0.1281
ZC3H18,18220,0.1281
TRAPPC9,18313,0.1281
SIGLEC14,1878,0.1281
LINC02057,16887,0.1281
CASP2,18060,0.1281
ENSG00000266578,16107,0.1281
OXTR,17458,0.1281
ENSG00000268434,13185,0.1281
SIK2,18240,0.1281
CTSS,17916,0.1281
TRAK1,18298,0.128
ZNF767P,16085,0.128
ENSG00000248103,5722,0.128
ENSG00000254519,11650,0.128
RPS12,18329,0.128
POLR1A,18099,0.128
NAA80,17154,0.128
CROCCP3-1,17708,0.128
SUMO1P1,470,0.128
PLAGL2,17714,0.128
GJB5,5792,0.128
ENSG00000289365,7475,0.128
PCDHGA8,15985,0.128
SMIM3,17784,0.128
ENSG00000285108,12610,0.128
DYNC1I1,17368,0.128
ENSG00000234940,105,0.1279
PTPRE,18193,0.1279
ENSG00000287781,4750,0.1279
AKAP8L,18180,0.1279
SAR1AP3,352,0.1279
SLC9C1,16835,0.1279
ZNF70,17630,0.1279
RCC1,18237,0.1279
HSD17B11,18036,0.1279
PHKG1,17732,0.1279
RIOK1,17982,0.1279
UBE2Q2P13,14901,0.1279
NCK1,18311,0.1279
NMRAL2P-1,15001,0.1279
ENSG00000228488,4423,0.1279
LYPD6B,17777,0.1279
ADAMTS12,17807,0.1279
FAM234B,17762,0.1279
TTN,17536,0.1279
RN7SKP211,579,0.1279
ENSG00000289418,16305,0.1279
CCNK,18299,0.1279
ST6GALNAC6,17655,0.1279
CAPRIN2,18284,0.1278
ENSG00000255027,13422,0.1278
RPL12P11,307,0.1278
ENSG00000291066,16716,0.1278
MID1IP1,17780,0.1278
CCDC125,17959,0.1278
BCO2,17394,0.1278
LAT2,17725,0.1278
SERTAD4,15433,0.1278
RPS4Y1,18161,0.1278
TVP23C-CDRT4,18123,0.1278
ZCWPW2,17808,0.1277
SIM2,17753,0.1277
PLEKHH2,17985,0.1277
EVC,17944,0.1277
SCYL2,18276,0.1277
H2AC17,10876,0.1277
STT3B,18321,0.1277
RNF141,17908,0.1277
THSD7B,16880,0.1277
TRIM5,18153,0.1277
MROH9,14596,0.1277
ZBP1,14501,0.1277
SLC39A10,18095,0.1277
RPS3AP8,503,0.1277
ZNF731P,18072,0.1277
DENND5A,18296,0.1277
PLAC8,17847,0.1277
CTU2,17245,0.1277
ANPEP,17020,0.1277
BCL10-AS1,17904,0.1277
ELFN1-AS1,11440,0.1277
PTK2B,18018,0.1276
OR2M3,3929,0.1276
ENSG00000272104,16826,0.1276
CMPK1,18215,0.1276
ATP6V0D1,17937,0.1276
SMARCAL1,17992,0.1276
BID,17943,0.1276
ENSG00000251131,16671,0.1276
LINC01050,8264,0.1276
ABCA10,17572,0.1276
ARIH2,18269,0.1276
ENSG00000289450,10192,0.1276
BRD3,18168,0.1276
RN7SL817P,6053,0.1276
ABI1,18327,0.1276
PTMAP5,17513,0.1276
LINC01844,16794,0.1276
Y_RNA-585,350,0.1276
CYP4F60P,611,0.1276
B3GALNT2P1,251,0.1275
FAM30A,562,0.1275
ENSG00000272167,1593,0.1275
FAM210A,18276,0.1275
PRRT2,17151,0.1275
METTL14,18162,0.1275
ENSG00000285646,16321,0.1275
ENSG00000230149,11977,0.1275
ZWILCH,17896,0.1275
ENSG00000228157,200,0.1275
TBC1D1,18142,0.1275
PABPC4L,5962,0.1275
ELOVL1,17930,0.1275
SMYD4,17964,0.1275
ENSG00000231740,8536,0.1275
ENSG00000258691,14133,0.1275
ENSG00000285188,8460,0.1275
RNA5SP265,258,0.1275
ENSG00000286076,15730,0.1274
HDGFL3,18262,0.1274
SMYD2,18065,0.1274
MTF1,18156,0.1274
LRP5L,17956,0.1274
ENSG00000228027,255,0.1274
TRIM28,17920,0.1274
TGIF2LX,1327,0.1274
ENSG00000287168,14685,0.1274
HPS6,17192,0.1274
EOLA1-DT,607,0.1274
ADGRL4,16852,0.1274
FHIP1B,17997,0.1274
ENSG00000286458,17798,0.1274
TMEM91,18097,0.1273
AKR7A2P1,82,0.1273
SLC5A12,13800,0.1273
SRSF3,18279,0.1273
RAB42,11069,0.1273
CD44-DT,9561,0.1273
DKK1,17679,0.1273
TM2D1,18269,0.1273
DELEC1,17785,0.1273
ENSG00000226890,1011,0.1273
TAF2,18315,0.1273
ENSG00000287204,350,0.1273
LINC02984,11365,0.1272
TANGO6,18178,0.1272
LRRK1,17964,0.1272
MLXIPL,17343,0.1272
SCP2,18141,0.1272
ARHGAP15,16940,0.1272
SNRPFP2,131,0.1272
SUN2,18112,0.1272
PKIB,17890,0.1272
CDC14B,18249,0.1272
NT5C3A,18300,0.1272
TAF7,18233,0.1271
RIPOR2,17058,0.1271
PAPPA,18200,0.1271
ENSG00000279568,13436,0.1271
TDRKH,17672,0.1271
ENSG00000289252,121,0.1271
SLC16A2,17703,0.1271
PIK3C2B,17935,0.1271
ZNF275,17785,0.1271
SUMO2P3,54,0.127
CCZ1B,18010,0.127
PRMT3,17996,0.127
SLC25A27,17780,0.127
CRISP3,1113,0.127
P2RY1,15575,0.127
BAHD1,18031,0.127
LRRC49,18072,0.127
NKD2,17290,0.127
KCNS3,17401,0.127
ENSG00000258875,14486,0.127
TRIM16,18220,0.127
CLPX,18186,0.1269
HADH,17705,0.1269
IL2RG,15495,0.1269
ENSG00000231780,51,0.1269
PLUT,15059,0.1269
ENSG00000207147,1092,0.1269
MOSPD2,18049,0.1269
CYP2R1,17617,0.1269
HCAR2,4955,0.1269
JAK1,18329,0.1269
IER3-AS1,16702,0.1268
LINC03006-1,17956,0.1268
LINC00632,17472,0.1268
ENSG00000258460,2868,0.1268
HNRNPA1P39,287,0.1268
TRIM14,18116,0.1268
PLEKHG7,14601,0.1268
LASP1,18312,0.1268
LZTFL1,17896,0.1268
SNHG7,18163,0.1268
RTTN,18137,0.1268
ENGASE,17633,0.1268
ENSG00000287902,264,0.1268
ELMO1,17605,0.1268
MAN2B2,17864,0.1268
KRTAP4-5,47,0.1267
SLC25A10,17482,0.1267
ADCY3,17799,0.1267
CASP8,18210,0.1267
SLC66A3,17768,0.1267
MTATP6P8,59,0.1267
BRPF3-AS1,17757,0.1267
ADGRD1-AS1,5596,0.1267
HHLA1,7879,0.1267
FAM83H,17435,0.1267
EN2,13625,0.1267
MATN2,17602,0.1267
ZNF431,18161,0.1266
ABI2,18321,0.1266
EFCAB7,17685,0.1266
VSIG1,13201,0.1266
RAPGEF4,18077,0.1266
DDX1,18290,0.1266
BHLHE22-AS1,37,0.1266
CACNB1,17525,0.1266
ENSG00000271011,15256,0.1266
THRB,18153,0.1266
ENSG00000270627,7921,0.1266
AWAT2,837,0.1266
FAM171B,17972,0.1266
CRABP2,17581,0.1266
PCDHB5,10794,0.1266
CAPN3,17226,0.1266
PKD1P4,13168,0.1266
ENSG00000236680,593,0.1266
ANKRD52,17979,0.1266
RBM17,18278,0.1266
GTF2IP6,11318,0.1265
LNCRNA-IUR,17329,0.1265
ENSG00000289162,7724,0.1265
GKAP1,17730,0.1265
TRIM34,16964,0.1265
NAA20,18164,0.1265
ATL2,18301,0.1265
NDUFB3P5,88,0.1265
ENSG00000285831,7864,0.1265
KRTAP21-3,359,0.1265
SNAP25-AS1,17629,0.1265
LAMA4,18032,0.1265
ENSG00000290000,9751,0.1265
ENSG00000286023,13181,0.1265
R3HDM4,18012,0.1265
ENSG00000272515,2676,0.1265
VIM-AS1,17373,0.1265
PJA1,17775,0.1265
RNU6-1107P,89,0.1265
METTL25,17928,0.1265
ENSG00000286393,3837,0.1265
IFIT5,17904,0.1264
POU5F1P4,430,0.1264
LRCH4,17676,0.1264
LINC00595,17524,0.1264
LINC02955,17556,0.1264
DTWD1,18113,0.1264
DDAH2,17792,0.1264
DIRC3,17894,0.1264
ENSG00000286509,1667,0.1264
MTMR4,18035,0.1264
PITPNA,18266,0.1264
PIK3CB,18314,0.1264
PDXDC2P-NPIPB14P,17695,0.1264
ENSG00000290792,17533,0.1263
PEAK1,18324,0.1263
BRD8,18244,0.1263
DNAH14,18315,0.1263
BTBD3,18140,0.1263
TRBV23OR9-2,64,0.1263
ADAMTSL5,16582,0.1263
RAD23BP1,4050,0.1263
ENSG00000250101,16989,0.1263
MDN1,18284,0.1263
TTC8,18070,0.1263
NAP1L4,18325,0.1263
COL5A1,18228,0.1263
DUSP8,17519,0.1263
LRRIQ1,16234,0.1263
POLR2F,18133,0.1263
SPINDOC,17734,0.1263
TMTC3,18076,0.1262
ENSG00000285664,18039,0.1262
C1orf52,18217,0.1262
ENSG00000125695,18105,0.1262
ENSG00000261305,10163,0.1262
LINC01475,895,0.1262
ENSG00000258944,17220,0.1262
MGLL,18161,0.1262
GJA3,16523,0.1262
ENSG00000234292,15686,0.1262
CCDC186,18295,0.1262
ENSG00000251600,17680,0.1262
PSMB8,17653,0.1262
ALPP,4800,0.1262
OMG,17368,0.1262
CDC37L1,18130,0.1262
TSEN54,17652,0.1262
ETFA,18315,0.1262
FLT4,12407,0.1261
TIPRL,18217,0.1261
LHX8,5062,0.1261
TP53INP1,17704,0.1261
ENSG00000255188,3736,0.1261
LINC01135,17432,0.1261
GOLGA2P9,151,0.1261
PIGG,18150,0.1261
DNAJB14,18313,0.1261
MGAT2,17575,0.1261
ENSG00000258439,41,0.1261
METAP1,18267,0.1261
AUP1,18027,0.1261
LINC02436,14813,0.1261
PPY,1184,0.1261
ENSG00000246225,16791,0.1261
NEK7,18328,0.1261
UBE2T,17687,0.126
B4GALNT3,17999,0.126
HNMT,17407,0.126
ENSG00000289685,139,0.126
ENSG00000248515,18299,0.126
ENSG00000240291,17757,0.126
ENSG00000271653,282,0.126
MMP7,17404,0.126
ENSG00000268833,16465,0.126
CACNB4,18104,0.126
SRMS,15012,0.126
KISS1,15864,0.126
FLRT3,16335,0.126
ENSG00000263637,716,0.1259
SCML1,18147,0.1259
MYMK,656,0.1259
CPNE8,18288,0.1259
ENSG00000289844,1788,0.1259
MEF2C,18097,0.1259
SCPEP1,17770,0.1259
RPS6KA4,17661,0.1259
LNPEP,18311,0.1259
WNT5B,17858,0.1259
ELANE,10088,0.1259
GABPA,18200,0.1259
FBXW11,18326,0.1259
ZNF92,18001,0.1259
C9orf64,17523,0.1259
RASD1,16589,0.1259
ENSG00000226984,229,0.1259
AIG1,18204,0.1259
CLC,722,0.1259
RPL7AP31,175,0.1259
LINC00641,17704,0.1258
ENSG00000287934,17352,0.1258
RRP15,17966,0.1258
ENSG00000286361,2182,0.1258
BUD31,18150,0.1258
TSPAN3,18217,0.1258
DHX33,17926,0.1258
QTRT2,17997,0.1258
BCAS4,17881,0.1258
GDAP1,18079,0.1258
MANSC1,16478,0.1258
ENSG00000251095,17279,0.1257
TAC1,2302,0.1257
ENSG00000250137,16941,0.1257
ENSG00000287936,480,0.1257
ENSG00000275234,14819,0.1257
SPAG1,17962,0.1257
INSM2,1737,0.1257
TMEM130,11565,0.1257
PEX14,18248,0.1257
PIAS4,18119,0.1257
ENSG00000229271,2733,0.1257
ISG15,18247,0.1257
OR8B8,393,0.1257
ICE2,18245,0.1257
DLGAP4-AS1,17634,0.1256
ZSWIM9,17934,0.1256
MEGF6,17788,0.1256
ACKR3,14848,0.1256
PRSS42P,2789,0.1256
ENSG00000234471,13260,0.1256
MIR3142HG,17484,0.1256
BCAR1P2,2176,0.1256
CENPH,17648,0.1256
ENSG00000236453,17785,0.1256
ENSG00000261474,17832,0.1256
CHID1,17801,0.1256
NEXN,17780,0.1256
HERC5,18099,0.1256
ARTN,12962,0.1255
ENSG00000287839,10960,0.1255
ENSG00000283208,17560,0.1255
RPA2,17813,0.1255
PCID2,18251,0.1255
DIS3L2,18299,0.1255
LINC02795,14924,0.1255
DBET,535,0.1255
ADAMTS7,16165,0.1255
ENSG00000289114,13664,0.1255
FSD1L,18210,0.1255
ENSG00000290461,11816,0.1254
MRPL43,17710,0.1254
LINC01989,9455,0.1254
RNF7,18044,0.1254
ENSG00000280893,10975,0.1254
LDLRAD1,8096,0.1254
F13B,12356,0.1254
ENSG00000285710,17441,0.1254
SNX17,17782,0.1254
DNAAF5,18002,0.1254
CFL1P1,558,0.1254
NEUROG2,3072,0.1254
ZNF227,17661,0.1254
ZNF655,18236,0.1253
CNIH2,16942,0.1253
UPK3BL1,13362,0.1253
ENSG00000262633,17533,0.1253
ICAM4-AS1,16892,0.1253
CASC8,16334,0.1253
ENSG00000267102,10432,0.1253
KLHDC4,18039,0.1253
ACOT12,16638,0.1253
LTB4R2,15705,0.1253
ENSG00000230030,4313,0.1253
ENSG00000287346,9322,0.1253
GZF1,17735,0.1253
ENSG00000235011,631,0.1253
PAPSS1,18197,0.1253
PPT1,17859,0.1253
RHCG,16413,0.1253
IQCA1-AS1,1645,0.1252
ENSG00000269902,13998,0.1252
COBL,18218,0.1252
IGHE,1955,0.1252
ENSG00000253891,14339,0.1252
NRG4,17563,0.1252
ARHGAP33,17554,0.1252
ENSG00000230975,17525,0.1252
ENSG00000290906,3968,0.1252
NXPH4,17437,0.1252
ABCD3,18214,0.1252
OLFM4,3541,0.1252
WASH5P,10253,0.1252
ADAT2,17722,0.1252
ENSG00000250770,14119,0.1252
ENSG00000260729,18070,0.1252
ENSG00000255375,2654,0.1251
ENSG00000267787,17838,0.1251
AKAP1,17964,0.1251
TRIM47,17339,0.1251
ASCC3,18329,0.1251
ENSG00000260021,629,0.1251
KAT14,17816,0.1251
C11orf91,17230,0.1251
ENSG00000203437,237,0.1251
OR5BB1P,42,0.1251
ENSG00000253672,1007,0.1251
SPART-AS1,15872,0.1251
AMN,16274,0.1251
ENSG00000258851,17027,0.1251
TMOD1,17815,0.1251
PTDSS1,18051,0.1251
NMRAL2P,18006,0.1251
LINC00656,1033,0.125
ENSG00000291211,2339,0.125
TNS2-AS1,17824,0.125
DSC2,18105,0.125
RAB20,17943,0.125
TGIF1,18096,0.125
PDGFA,18257,0.125
SLC25A25-AS1,17295,0.125
KRTAP5-AS1,17025,0.125
CCNB2,17840,0.125
ATP6V1F,17888,0.125
SEC63P1,16389,0.125
TRMT2A,17427,0.125
ZNG1B,17937,0.125
ANGPT1,17426,0.125
SYNM-AS1,17552,0.125
MED20,17726,0.125
ECHDC2,17976,0.125
EOMES,7471,0.125
KCNAB2,18064,0.1249
SYT9-AS1,17134,0.1249
PIR,18072,0.1249
MYRF-AS1,11530,0.1249
LINC02693,17602,0.1249
ENSG00000229151,13748,0.1249
COLQ,17514,0.1249
ENSG00000287188,16402,0.1249
HDX,18013,0.1249
E2F8,17169,0.1248
PLCL1,17238,0.1248
ENSG00000285942,17694,0.1248
LONRF3,17980,0.1248
LIN9,17917,0.1248
MICAL3,18320,0.1248
LMF2,17585,0.1248
OSBPL5,18160,0.1248
SMOC1,18255,0.1248
ERP44,18297,0.1248
CYP4A22-AS1,17336,0.1248
PRPF6,18273,0.1248
LCMT1,18167,0.1248
SH3YL1,18210,0.1248
PSEN2,17643,0.1248
ITGB1-DT,18141,0.1248
NAA25,18267,0.1248
MAILR,17768,0.1248
SLC45A3,16861,0.1247
OR4A11P,366,0.1247
HAUS6,18045,0.1247
MTCYBP18,2682,0.1247
ENSG00000267501,1359,0.1247
ENSG00000272489,10813,0.1247
CHAF1B,17711,0.1247
RBPJP6,1787,0.1247
ENSG00000253550,227,0.1247
PTPRD,18275,0.1247
CERNA3,270,0.1247
ELOF1,17681,0.1247
SIX5,17483,0.1247
MMEL1-AS1,524,0.1247
ADGRA1,3739,0.1247
NDUFAF6,18230,0.1247
SRGAP2B,17906,0.1246
ENSG00000243004,17653,0.1246
THBS4-AS1,16006,0.1246
TUBB2A,17954,0.1246
ENSG00000287321,2106,0.1246
CENPA,17789,0.1246
ENSG00000273269,17200,0.1246
L3MBTL3,17617,0.1246
STING1,16938,0.1246
ZNF444P1,41,0.1246
SLC45A2,15391,0.1246
STON1,17783,0.1246
TBC1D9B,18314,0.1246
NOXA1,17243,0.1246
MFSD8,18060,0.1246
ENSG00000288033,17531,0.1246
TARBP1,18220,0.1246
ENSG00000266893,14500,0.1246
TEAD3,17777,0.1245
IRX2-DT,11907,0.1245
POLH,18121,0.1245
PARP11,17935,0.1245
ZNF775,17641,0.1245
IRAK4,17822,0.1245
CSTF3,18284,0.1245
ENSG00000287693,12864,0.1245
OPA1,18325,0.1245
FCRL5,2031,0.1245
RPL26,18325,0.1245
UBFD1,18059,0.1245
TMEM229A,920,0.1245
LDHAP5,3163,0.1245
TMEM185B,17489,0.1245
IKBIP,18271,0.1245
FAM53C,18153,0.1245
ENSG00000289871,4414,0.1245
NR2C1,18233,0.1245
PITX1-AS1,17878,0.1245
ENSG00000279190,85,0.1245
ENSG00000285608,17317,0.1245
LRP11,18155,0.1244
SMPD4,18009,0.1244
ERICH1,18242,0.1244
PHYHD1,17237,0.1244
ENPP7P7,16220,0.1244
RNF32-DT,17735,0.1244
MRPL1,18236,0.1244
PEMT,17809,0.1244
ENSG00000286944,1485,0.1244
PPP1R12A-AS2,17545,0.1244
MPHOSPH6,17996,0.1244
ENSG00000280288,115,0.1244
ENSG00000285697,65,0.1244
ENSG00000290989,17689,0.1244
ENSG00000231173,288,0.1244
LINC02133,17308,0.1244
CHTF18,17463,0.1244
UNC13D,17802,0.1244
PLCXD2,17421,0.1244
PALLD-AS1,373,0.1243
HSPD1P10,15062,0.1243
MROH3P,16211,0.1243
PIM2,17714,0.1243
NEB,17540,0.1243
PLCB2-AS1,99,0.1243
MTBP,18045,0.1243
KLRD1,17751,0.1243
IP6K2,18196,0.1243
P3H2,18243,0.1243
HOXC13-AS,6377,0.1243
FOXQ1,17684,0.1243
PLEKHG2,17927,0.1243
CCDC85A,16611,0.1243
ENSG00000227598,17734,0.1243
PRPF40A,18328,0.1243
MT1L,2026,0.1243
MAFIP,18108,0.1243
PTGES3,18326,0.1243
TMEM201,17352,0.1243
UPB1,13939,0.1243
SCIN,16394,0.1243
ENSG00000275826,1871,0.1243
RRP36,17968,0.1242
OAT,18094,0.1242
DELE1,17987,0.1242
SLC18A3,896,0.1242
ENSG00000261364,1776,0.1242
COL4A1,18091,0.1242
PABIR3,17871,0.1242
CORIN,17781,0.1242
CDR2,18271,0.1242
ANKRD31,16896,0.1242
RFC3,18277,0.1242
IGDCC4,16147,0.1241
TRIM59,17686,0.1241
KCNQ3,17462,0.1241
CBX7,17655,0.1241
SVIL-AS1-1,18163,0.1241
RASGRF2,17924,0.1241
YIPF4,18201,0.1241
FEZF1-AS1,11657,0.1241
ENSG00000216775,16274,0.1241
GRAP,9400,0.1241
ENSG00000288543,4668,0.1241
LINC02933,8053,0.1241
MAST4,18294,0.1241
TERT,16622,0.1241
ENSG00000286952,16495,0.1241
ENSG00000258593,15890,0.1241
RNF215,17857,0.124
ENSG00000231922,506,0.124
CD83P1,828,0.124
KRBOX5,18078,0.124
GET3,17821,0.124
NYNRIN,11338,0.124
TNFSF14,15678,0.124
PPP1R37,17540,0.124
SMARCA1,18204,0.124
KCTD10,18010,0.124
ENSG00000228120,827,0.124
NR6A1,18321,0.124
HOXB4,17457,0.124
MBD4,18015,0.124
ENSG00000228509,17566,0.124
MPP4,17322,0.124
SNRPB,18241,0.124
LINC02340,17711,0.124
ENSG00000286640,201,0.1239
CNPPD1,17709,0.1239
SPATS2,18320,0.1239
NDUFB5,18026,0.1239
SUGCT-AS1,8938,0.1239
IFT172,17934,0.1239
ENSG00000236498,17287,0.1239
LY75-CD302,8890,0.1239
RBM7,18014,0.1239
P2RY2,15090,0.1239
VCPIP1,18147,0.1239
ZNG1DP,15921,0.1239
PDE11A,17446,0.1239
ZNF718,17905,0.1239
CRISPLD2,17721,0.1239
HEBP2,18126,0.1239
SPATA31A6,583,0.1239
FNBP1,18310,0.1239
ZDHHC4,17761,0.1239
CACYBP,18182,0.1239
ENSG00000289700,9011,0.1238
ENSG00000271781,12168,0.1238
RECK,17793,0.1238
ENSG00000289885,7455,0.1238
LINC03003-1,14409,0.1238
PUS7L,18152,0.1238
HMGXB4,18284,0.1238
SDHAF2,17860,0.1238
ENSG00000273748,17744,0.1238
MAP2K6,17390,0.1238
PRELID3BP6,109,0.1238
PNMA3,1371,0.1238
ZNF362,17673,0.1238
ENSG00000241634,6814,0.1237
LMTK2,18295,0.1237
ENSG00000285082,16372,0.1237
ENSG00000286614,11026,0.1237
GOLGA7B,17312,0.1237
ENSG00000280239,16807,0.1237
MRC2,18155,0.1237
GOPC,18137,0.1237
CSTL1,11098,0.1237
STK10,18272,0.1237
USP46,17787,0.1237
HDAC6,17972,0.1237
TM2D3,18055,0.1237
PAPPA-AS1,15443,0.1237
RDUR,16555,0.1237
ENSG00000255209,4752,0.1237
TBC1D16,18092,0.1237
CRAT37,15585,0.1237
TRAPPC6B,18100,0.1237
MAP3K20-AS1,17778,0.1237
PVR,18114,0.1236
RN7SL546P,104,0.1236
FLRT2-AS1,8588,0.1236
POLR2B,18303,0.1236
CIAO2A,17816,0.1236
TBILA,15661,0.1236
LCT-AS1,1116,0.1236
ZCCHC17,18193,0.1236
MNX1-AS1,12115,0.1236
RN7SL798P,388,0.1236
IST1,18320,0.1236
ENSG00000249412,529,0.1236
FBXL18,18034,0.1236
ENSG00000289730,1491,0.1236
DENND3,18116,0.1235
PYURF,17906,0.1235
ENSG00000227734,65,0.1235
SFI1,18128,0.1235
CASC19,18057,0.1235
COX10-DT,18206,0.1235
DYNC2LI1,18019,0.1235
CARD11,17787,0.1235
ERCC1,18174,0.1235
SMIM12,17950,0.1235
ZNRF2P1,18043,0.1235
GPD2,18290,0.1235
SLC22A14,17493,0.1235
MCM8,18096,0.1235
HMSD,13867,0.1235
PRIM1,17690,0.1234
NLRP1,18193,0.1234
MVP-DT,17620,0.1234
HYI,17031,0.1234
ENSG00000279726,13319,0.1234
ENSG00000279914,247,0.1234
GBGT1,7524,0.1234
GEMIN5,18003,0.1234
NOL8,18182,0.1234
HOXB9,17647,0.1234
LINC02455,840,0.1234
RN7SL636P,1466,0.1234
DNAAF11,17435,0.1234
CEBPA,14132,0.1234
SOCS2,17517,0.1234
GOLT1A,16481,0.1233
ZNF729,3017,0.1233
RAD1,17933,0.1233
LARS2,18102,0.1233
LINC00472,18124,0.1233
ENSG00000262967,16325,0.1233
IL4I1,17724,0.1233
ENSG00000288018,17349,0.1233
JMJD6,18179,0.1233
PLEKHA1,18311,0.1233
RBSN,18016,0.1233
PLAGL1,18102,0.1233
ENSG00000266924,1209,0.1233
ENSG00000250971,13392,0.1233
IL17RA,18031,0.1233
KRT9,1750,0.1233
DIO2,17502,0.1233
ENSG00000266978,17552,0.1232
PIGO,17601,0.1232
ENSG00000259628,18133,0.1232
ST8SIA1,17107,0.1232
ZNF25,17767,0.1232
SPATA6,18005,0.1232
PAK6,17468,0.1232
LINC03015,16725,0.1232
GPR135,18000,0.1232
ATF1,18274,0.1232
ATG13,18244,0.1232
SPCS2P4,9393,0.1232
TOR2A,16882,0.1232
FAM181A-AS1,1275,0.1232
TRBC1,1107,0.1232
ACVR2B,18052,0.1232
ORC3,18154,0.1232
CHSY3,17908,0.1232
LINC00857,15556,0.1231
GALNT12,17587,0.1231
C2CD2,18150,0.1231
ENSG00000277119,1111,0.1231
TTC21B,18224,0.1231
RTKN,17832,0.1231
NFYAP1,10667,0.1231
ENSG00000290335,2824,0.1231
LBR,18183,0.1231
ENSG00000227227,17595,0.1231
LINC01833,12386,0.1231
ENSG00000272049,1651,0.1231
SETD3,18277,0.1231
FAM228B,18211,0.1231
CPSF1P1,8591,0.1231
LINC01998,660,0.1231
C2orf15,12462,0.1231
DOCK11,17963,0.1231
METTL1,17388,0.1231
ENSG00000284762,17546,0.1231
ENSG00000288990,1225,0.1231
MTIF2,18155,0.1231
DMRTC1B,281,0.1231
C8orf58,17681,0.1231
DTD1,18070,0.123
G3BP2,18320,0.123
HS6ST1,17886,0.123
FASTK,17705,0.123
ENSG00000255644,5470,0.123
ENSG00000279125,348,0.123
DMTN,17000,0.123
SNRPCP16,32,0.123
MMGT1,17877,0.123
ENSG00000250917,17881,0.123
ENSG00000286451,12207,0.123
MTCO2P30,204,0.123
FAR2,17841,0.123
SLIT3-AS2,4419,0.123
ARL8B,18299,0.123
KATNAL2,17382,0.123
LINC02419,734,0.123
ABCA15P,17698,0.123
TFCP2L1,17053,0.1229
LINC00589,16913,0.1229
ADGRE1,12467,0.1229
ENSG00000255910,17693,0.1229
CTNNA1,18329,0.1229
FGF18,17358,0.1229
ENSG00000254187,2411,0.1229
TTC31,17665,0.1229
