patient,drug,n_first,n_second,n_both,jaccard
ACH-000120,(R)-Verapamil (hydrochloride),26,255,8,0.0293
ACH-000120,(S)-Crizotinib,45,103,15,0.1128
ACH-000120,18β-Glycyrrhetinic acid,38,274,18,0.0612
ACH-000120,4EGI-1,159,7,5,0.0311
ACH-000120,5-Azacytidine,307,393,80,0.129
ACH-000120,5-Fluorouracil,141,167,36,0.1324
ACH-000120,8-Hydroxyquinoline,37,108,19,0.1508
ACH-000120,9-ING-41,665,192,63,0.0793
ACH-000120,APTO-253,210,12,8,0.0374
ACH-000120,AT7519,55,27,10,0.1389
ACH-000120,AZD-7648,606,20,13,0.0212
ACH-000120,AZD-8055,64,15,9,0.1286
ACH-000120,AZD1390,235,51,15,0.0554
ACH-000120,AZD2858,269,31,14,0.049
ACH-000120,Abemaciclib,645,41,29,0.0441
ACH-000120,Abiraterone acetate,122,218,30,0.0968
ACH-000120,Acetazolamide,436,171,50,0.0898
ACH-000120,Acetohexamide,9,209,6,0.0283
ACH-000120,Adagrasib,282,161,56,0.1447
ACH-000120,Adenine,56,87,23,0.1917
ACH-000120,Adenosine,24,201,11,0.0514
ACH-000120,Afatinib,110,317,42,0.1091
ACH-000120,Aliskiren,12,96,10,0.102
ACH-000120,Allantoin,86,374,39,0.0926
ACH-000120,Allopurinol,607,257,105,0.1383
ACH-000120,Almonertinib (hydrochloride),62,319,24,0.0672
ACH-000120,Almonertinib (mesylate),223,138,24,0.0712
ACH-000120,Alpelisib,98,51,17,0.1288
ACH-000120,Altretamine,12,41,5,0.1042
ACH-000120,Amsacrine,21,596,18,0.0301
ACH-000120,Anastrozole,35,14,5,0.1136
ACH-000120,Anethole trithione,91,102,33,0.2062
ACH-000120,Apalutamide,7,313,4,0.0127
ACH-000120,Aprepitant,539,223,77,0.1124
ACH-000120,Arbutin,25,134,14,0.0966
ACH-000120,Artemether,247,442,99,0.1678
ACH-000120,Artesunate,105,468,64,0.1257
ACH-000120,Asciminib,559,251,74,0.1005
ACH-000120,Aspirin,177,215,44,0.1264
ACH-000120,Ataluren,214,80,20,0.073
ACH-000120,Atazanavir (sulfate),254,425,98,0.1687
ACH-000120,Auranofin,279,3135,175,0.054
ACH-000120,Azithromycin (hydrate),11,224,4,0.0173
ACH-000120,BAY1125976,628,887,171,0.1272
ACH-000120,BI-3406,272,43,23,0.0788
ACH-000120,BI-78D3,779,54,26,0.0322
ACH-000120,Baicalin,19,129,13,0.0963
ACH-000120,Balsalazide (sodium hydrate),19,76,10,0.1176
ACH-000120,Belinostat,256,4537,193,0.042
ACH-000120,Belumosudil,174,730,49,0.0573
ACH-000120,Belumosudil (mesylate),212,25,13,0.058
ACH-000120,Belzutifan,160,79,5,0.0214
ACH-000120,Bendamustine,9,100,8,0.0792
ACH-000120,Benproperine (phosphate),29,115,13,0.0992
ACH-000120,Bentamapimod,389,48,21,0.0505
ACH-000120,Benztropine (mesylate),71,133,12,0.0625
ACH-000120,Berbamine,120,253,34,0.1003
ACH-000120,Berbamine (dihydrochloride),197,83,32,0.129
ACH-000120,Berberine (chloride hydrate),34,146,15,0.0909
ACH-000120,Bergenin,8,208,5,0.0237
ACH-000120,Bestatin,5,154,3,0.0192
ACH-000120,Bestatin (hydrochloride),235,245,37,0.0835
ACH-000120,Betamethasone dipropionate,61,320,29,0.0824
ACH-000120,Bexarotene,294,440,109,0.1744
ACH-000120,Bicalutamide,86,143,24,0.1171
ACH-000120,Bimatoprost,21,236,14,0.0576
ACH-000120,Bimiralisib,524,73,31,0.0548
ACH-000120,Binimetinib,911,951,288,0.183
ACH-000120,Bisoprolol (hemifumarate),101,334,39,0.0985
ACH-000120,Bortezomib,659,609,209,0.1974
ACH-000120,Bosentan (hydrate),23,286,15,0.051
ACH-000120,Brimonidine,90,113,17,0.0914
ACH-000120,Brivudine,696,307,110,0.1232
ACH-000120,Budesonide,596,481,143,0.1531
ACH-000120,Busulfan,56,264,21,0.0702
ACH-000120,CP21R7,272,8,5,0.0182
ACH-000120,Cabozantinib (S-malate),195,264,39,0.0929
ACH-000120,Canagliflozin,56,183,19,0.0864
ACH-000120,Canagliflozin (hemihydrate),194,199,23,0.0622
ACH-000120,Capivasertib,103,16,8,0.0721
ACH-000120,Capmatinib,149,43,15,0.0847
ACH-000120,Captopril,223,104,28,0.0936
ACH-000120,Carbamazepine,228,394,52,0.0912
ACH-000120,Celecoxib,618,36,15,0.0235
ACH-000120,Cepharanthine,25,438,15,0.0335
ACH-000120,Chlorhexidine (diacetate),118,121,30,0.1435
ACH-000120,Ciclopirox,40,274,21,0.0717
ACH-000120,Cilostazol,31,330,20,0.0587
ACH-000120,Cinacalcet,181,153,30,0.0987
ACH-000120,Citalopram (hydrobromide),163,79,20,0.0901
ACH-000120,Clobetasol propionate,230,454,66,0.1068
ACH-000120,Clofarabine,1,87,1,0.0115
ACH-000120,Clonidine (hydrochloride),49,162,29,0.1593
ACH-000120,Clopidogrel,464,262,67,0.1017
ACH-000120,Clotrimazole,53,211,21,0.0864
ACH-000120,Cloxacillin (sodium),7,35,6,0.1667
ACH-000120,Cobimetinib,37,438,17,0.0371
ACH-000120,Crizotinib (hydrochloride),334,400,100,0.1577
ACH-000120,Cyclosporin A,334,557,132,0.1739
ACH-000120,Cysteamine (hydrochloride),14,177,11,0.0611
ACH-000120,Cytarabine,183,158,30,0.0965
ACH-000120,Cytarabine (hydrochloride),32,276,22,0.0769
ACH-000120,DT-061,132,36,12,0.0769
ACH-000120,DTP3,257,4,4,0.0156
ACH-000120,Dabrafenib,286,802,79,0.0783
ACH-000120,Daidzin,228,106,26,0.0844
ACH-000120,Dapagliflozin,66,68,18,0.1552
ACH-000120,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",84,208,26,0.0977
ACH-000120,Darinaparsin,37,528,20,0.0367
ACH-000120,Darolutamide,317,472,116,0.1724
ACH-000120,Decitabine,211,905,105,0.1039
ACH-000120,Delamanid,277,293,100,0.2128
ACH-000120,Demeclocycline,14,131,10,0.0741
ACH-000120,Dexamethasone,210,400,88,0.1686
ACH-000120,Dexmedetomidine,9,152,7,0.0455
ACH-000120,Diammonium Glycyrrhizinate,45,242,20,0.0749
ACH-000120,Digitoxin,2064,3426,1434,0.3536
ACH-000120,Dihydroartemisinin,90,969,46,0.0454
ACH-000120,Dimethyl fumarate,5,39,4,0.1
ACH-000120,Dinaciclib,814,2964,678,0.2187
ACH-000120,Diphenhydramine,96,152,18,0.0783
ACH-000120,Docetaxel,388,267,77,0.1332
ACH-000120,Docetaxel (Trihydrate),14,453,5,0.0108
ACH-000120,Dorzolamide (hydrochloride),64,308,24,0.069
ACH-000120,Doxorubicin (hydrochloride),62,854,40,0.0457
ACH-000120,Doxycycline (monohydrate),25,101,7,0.0588
ACH-000120,Drospirenone,246,325,59,0.1152
ACH-000120,ERK5-IN-2,503,320,72,0.0959
ACH-000120,ETC-206,150,3,3,0.02
ACH-000120,EX229,811,80,40,0.047
ACH-000120,Econazole,284,87,20,0.057
ACH-000120,Elagolix sodium,21,277,14,0.0493
ACH-000120,Elimusertib hydrochloride,557,229,80,0.1133
ACH-000120,Encorafenib,103,229,23,0.0744
ACH-000120,Entecavir (monohydrate),13,200,8,0.039
ACH-000120,Entrectinib,158,505,45,0.0728
ACH-000120,Epirubicin (hydrochloride),35,552,19,0.0335
ACH-000120,Eplerenone,6,74,6,0.0811
ACH-000120,Erdafitinib ,85,25,9,0.0891
ACH-000120,Erlotinib,40,197,18,0.0822
ACH-000120,Erythromycin,85,281,35,0.1057
ACH-000120,Esmolol (hydrochloride),32,259,16,0.0582
ACH-000120,Estrone sulfate (potassium),410,425,55,0.0705
ACH-000120,Everolimus,81,40,6,0.0522
ACH-000120,Fedratinib (hydrochloride hydrate),333,780,137,0.1404
ACH-000120,Fenofibrate,41,63,12,0.1304
ACH-000120,Ferulic acid,33,257,16,0.0584
ACH-000120,Filgotinib,68,474,30,0.0586
ACH-000120,Finasteride,10,116,8,0.0678
ACH-000120,Fingolimod (hydrochloride),87,455,38,0.0754
ACH-000120,Flumatinib (mesylate),133,494,60,0.1058
ACH-000120,Flutamide,166,295,36,0.0847
ACH-000120,Fluvoxamine,22,222,11,0.0472
ACH-000120,Fluvoxamine (maleate),10,190,7,0.0363
ACH-000120,Folic acid,33,24,12,0.2667
ACH-000120,Fulvestrant,225,220,45,0.1125
ACH-000120,Fumaric acid,114,254,39,0.1185
ACH-000120,Furosemide,13,127,7,0.0526
ACH-000120,Fusidic acid,10,101,7,0.0673
ACH-000120,Futibatinib,457,27,15,0.032
ACH-000120,GSK1059615,657,71,29,0.0415
ACH-000120,Gallic acid,54,90,13,0.0992
ACH-000120,Gallic acid (hydrate),51,163,18,0.0918
ACH-000120,Gefitinib,77,512,45,0.0827
ACH-000120,Gemcitabine,171,56,26,0.1294
ACH-000120,Gemfibrozil,40,380,20,0.05
ACH-000120,Glycyrrhizic acid,220,194,24,0.0615
ACH-000120,Goserelin (acetate),29,98,16,0.1441
ACH-000120,HI-TOPK-032,460,14,6,0.0128
ACH-000120,Harringtonine,158,3349,119,0.0351
ACH-000120,Hesperidin,20,261,12,0.0446
ACH-000120,Hexylresorcinol,21,191,17,0.0872
ACH-000120,Homoharringtonine,1912,3616,1472,0.3629
ACH-000120,Hydroxyfasudil,487,91,16,0.0285
ACH-000120,Hydroxyurea,23,63,6,0.075
ACH-000120,IQ 1,375,21,11,0.0286
ACH-000120,Idarubicin (hydrochloride),831,2206,465,0.1808
ACH-000120,Idoxuridine,398,245,90,0.1627
ACH-000120,Imiquimod (hydrochloride),249,438,53,0.0836
ACH-000120,Imiquimod (maleate),8,67,5,0.0714
ACH-000120,Indacaterol (maleate),248,134,46,0.1369
ACH-000120,Infigratinib,100,61,20,0.1418
ACH-000120,Ipatasertib,849,107,47,0.0517
ACH-000120,Irinotecan,64,24,12,0.1579
ACH-000120,Irinotecan (hydrochloride),556,108,38,0.0607
ACH-000120,Isocorydine,9,103,5,0.0467
ACH-000120,Ivermectin,93,213,33,0.1209
ACH-000120,Ixazomib,58,51,14,0.1474
ACH-000120,Ixazomib citrate,126,1882,89,0.0464
ACH-000120,L-Eflornithine (monohydrochloride),368,292,66,0.1111
ACH-000120,L-Thyroxine (sodium salt pentahydrate),52,266,19,0.0635
ACH-000120,LB-100,115,7,3,0.0252
ACH-000120,LJI308,516,122,56,0.0962
ACH-000120,LY-2584702 (tosylate salt),545,24,15,0.0271
ACH-000120,LY2090314,51,34,10,0.1333
ACH-000120,Lactate (calcium),100,348,26,0.0616
ACH-000120,Lapatinib ditosylate,61,26,5,0.061
ACH-000120,Larotrectinib,26,362,11,0.0292
ACH-000120,Lenalidomide (hemihydrate),40,257,11,0.0385
ACH-000120,Levobupivacaine (hydrochloride),15,103,10,0.0926
ACH-000120,Lidocaine (hydrochloride),87,677,33,0.0451
ACH-000120,Ligustrazine,10,104,8,0.0755
ACH-000120,Lipoic acid,9,52,5,0.0893
ACH-000120,Lonafarnib,39,18,6,0.1176
ACH-000120,Loperamide (hydrochloride),322,236,50,0.0984
ACH-000120,Lopinavir,259,263,68,0.1498
ACH-000120,Lucanthone,342,161,65,0.1484
ACH-000120,Lumateperone (tosylate),7,93,7,0.0753
ACH-000120,MK-3903,330,23,14,0.0413
ACH-000120,MK-8353,82,20,11,0.1209
ACH-000120,ML264,276,251,53,0.1118
ACH-000120,Macitentan,3,40,1,0.0238
ACH-000120,Malotilate,684,597,192,0.1763
ACH-000120,Mebendazole,30,655,21,0.0316
ACH-000120,Medroxyprogesterone acetate,46,398,14,0.0326
ACH-000120,Megestrol,25,98,8,0.0696
ACH-000120,Meloxicam,197,556,57,0.0819
ACH-000120,Menadione,46,160,14,0.0729
ACH-000120,Methotrexate,145,157,34,0.1269
ACH-000120,Methyl aminolevulinate (hydrochloride),314,147,47,0.1135
ACH-000120,Methylprednisolone succinate,682,11,7,0.0102
ACH-000120,Methylthiouracil,113,93,17,0.0899
ACH-000120,Mifepristone,30,214,18,0.0796
ACH-000120,Minodronic acid,86,27,15,0.1531
ACH-000120,Mitoxantrone (dihydrochloride),103,807,46,0.0532
ACH-000120,Monocrotaline,16,159,11,0.0671
ACH-000120,Mozavaptan,7,159,4,0.0247
ACH-000120,NG25,155,95,26,0.1161
ACH-000120,NVP-BHG712,528,31,15,0.0276
ACH-000120,Nafamostat (mesylate),454,175,52,0.0901
ACH-000120,Naproxen,64,131,26,0.1538
ACH-000120,Neratinib,116,411,28,0.0561
ACH-000120,Neratinib (maleate),38,719,32,0.0441
ACH-000120,Nevirapine,27,144,19,0.125
ACH-000120,Niclosamide (olamine),14,1018,14,0.0138
ACH-000120,Norepinephrine (hydrochloride),22,263,14,0.0517
ACH-000120,OTS514,150,72,23,0.1156
ACH-000120,Olanzapine,30,272,22,0.0786
ACH-000120,Oleic acid,107,20,12,0.1043
ACH-000120,Omeprazole,58,244,28,0.1022
ACH-000120,Omeprazole (sodium),188,135,22,0.0731
ACH-000120,Orlistat,37,155,15,0.0847
ACH-000120,Osimertinib (mesylate),243,991,137,0.1249
ACH-000120,Ouabain (Octahydrate),2433,4972,1827,0.3275
ACH-000120,Oxaliplatin,185,88,32,0.1328
ACH-000120,Oxaprozin,404,423,80,0.1071
ACH-000120,PF-06260933,343,103,30,0.0721
ACH-000120,PH-797804,724,1082,197,0.1224
ACH-000120,Paclitaxel,110,142,19,0.0815
ACH-000120,Palmatine (chloride),52,221,17,0.0664
ACH-000120,Panobinostat,1903,6668,1633,0.2354
ACH-000120,Pasireotide (acetate),32,108,14,0.1111
ACH-000120,Pemetrexed,38,169,22,0.1189
ACH-000120,Pemigatinib,240,12,3,0.012
ACH-000120,Penfluridol,25,62,12,0.16
ACH-000120,Pentagastrin,31,123,16,0.1159
ACH-000120,Pentamidine (isethionate),74,217,21,0.0778
ACH-000120,Pentoxifylline,361,525,108,0.1388
ACH-000120,Peretinoin,40,1021,29,0.0281
ACH-000120,Perindopril (erbumine),17,58,7,0.1029
ACH-000120,Pexidartinib (hydrochloride),12,164,8,0.0476
ACH-000120,Phenylephrine (hydrochloride),295,249,41,0.0815
ACH-000120,Phenytoin (sodium),17,100,8,0.0734
ACH-000120,Pimitespib,266,34,15,0.0526
ACH-000120,Pimozide,196,304,29,0.0616
ACH-000120,Pioglitazone,243,292,71,0.153
ACH-000120,Piroxicam,519,430,128,0.1559
ACH-000120,Pitavastatin (Calcium),31,478,19,0.0388
ACH-000120,Ponatinib,159,974,87,0.0832
ACH-000120,Posaconazole,12,398,11,0.0276
ACH-000120,Pralsetinib,278,51,23,0.0752
ACH-000120,Pravastatin (sodium),226,100,28,0.094
ACH-000120,Procainamide (hydrochloride),11,59,4,0.0606
ACH-000120,Proglumide,68,115,21,0.1296
ACH-000120,Pyridoxine,32,267,18,0.0641
ACH-000120,Pyridoxine (hydrochloride),61,4,4,0.0656
ACH-000120,Quinestrol,14,125,10,0.0775
ACH-000120,Quinidine (15% dihydroquinidine),7,208,7,0.0337
ACH-000120,RMC-6236,196,84,25,0.098
ACH-000120,Radotinib,380,968,209,0.1835
ACH-000120,Ralimetinib dimesylate,577,43,14,0.0231
ACH-000120,Raltitrexed,15,135,12,0.087
ACH-000120,Ranolazine,87,179,24,0.0992
ACH-000120,Rapamycin,23,391,16,0.0402
ACH-000120,Regorafenib,207,9,5,0.0237
ACH-000120,Relugolix,9,48,6,0.1176
ACH-000120,Resveratrol,111,207,32,0.1119
ACH-000120,Retinoic acid,81,384,46,0.1098
ACH-000120,Rifaximin,4,50,4,0.08
ACH-000120,Riluzole hydrochloride,32,301,17,0.0538
ACH-000120,Rimonabant,18,149,12,0.0774
ACH-000120,Ritonavir,18,356,9,0.0247
ACH-000120,Ropivacaine (hydrochloride monohydrate),59,382,27,0.0652
ACH-000120,Rosiglitazone,27,178,19,0.1022
ACH-000120,Roxadustat,124,542,53,0.0865
ACH-000120,Rucaparib (phosphate),4,95,3,0.0312
ACH-000120,Rutin (trihydrate),131,94,40,0.2162
ACH-000120,S-Adenosyl-L-methionine (disulfate tosylate),60,281,32,0.1036
ACH-000120,SBI-0640756,118,25,6,0.0438
ACH-000120,Sacubitril/Valsartan,26,214,20,0.0909
ACH-000120,Salicylic acid,26,199,17,0.0817
ACH-000120,Sapanisertib,880,532,207,0.1718
ACH-000120,Saquinavir,86,447,27,0.0534
ACH-000120,Selinexor ,155,784,67,0.0768
ACH-000120,Sildenafil,6,228,6,0.0263
ACH-000120,Silodosin,12,57,6,0.0952
ACH-000120,Simotinib,5,47,2,0.04
ACH-000120,Sinomenine,34,72,14,0.1522
ACH-000120,Sivelestat (sodium tetrahydrate),23,558,21,0.0375
ACH-000120,Sodium Salicylate,35,213,17,0.0736
ACH-000120,Sonidegib,1037,30,13,0.0123
ACH-000120,Sulfatinib,8,75,5,0.0641
ACH-000120,Sulfisoxazole,312,249,36,0.0686
ACH-000120,Sunitinib,604,891,194,0.1491
ACH-000120,TAK-733,196,83,23,0.0898
ACH-000120,TAK-901,943,1577,411,0.1949
ACH-000120,Tadalafil,9,158,8,0.0503
ACH-000120,Talc,277,86,26,0.0772
ACH-000120,Tazarotene,324,405,97,0.1535
ACH-000120,Temsirolimus,75,408,34,0.0757
ACH-000120,Temuterkib,357,117,37,0.0847
ACH-000120,Terfenadine,600,312,80,0.0962
ACH-000120,Tetracycline (hydrochloride),16,301,11,0.0359
ACH-000120,Thymol,13,289,4,0.0134
ACH-000120,Thymopentin,9,161,7,0.0429
ACH-000120,Tirabrutinib,161,290,70,0.1837
ACH-000120,Tirabrutinib (hydrochloride),448,409,100,0.1321
ACH-000120,Tofacitinib,32,359,14,0.0371
ACH-000120,Tofacitinib (citrate),13,300,13,0.0433
ACH-000120,Tolcapone,20,342,12,0.0343
ACH-000120,Tolmetin,19,168,14,0.0809
ACH-000120,Tomivosertib,300,20,8,0.0256
ACH-000120,Topotecan (hydrochloride),110,1347,64,0.0459
ACH-000120,Torkinib,251,22,12,0.046
ACH-000120,Trametinib,1245,982,367,0.1973
ACH-000120,Trametinib (DMSO_TF solvate),160,1027,105,0.097
ACH-000120,Tranilast,8,121,8,0.0661
ACH-000120,Triamcinolone,33,378,30,0.0787
ACH-000120,Triclosan,24,245,15,0.0591
ACH-000120,Trifluridine,34,220,11,0.0453
ACH-000120,Trimetrexate,53,321,17,0.0476
ACH-000120,Tubulin inhibitor 6,121,38,14,0.0966
ACH-000120,Tucatinib,117,49,27,0.1942
ACH-000120,Tucidinostat,29,2274,26,0.0114
ACH-000120,ULK-101,466,21,11,0.0231
ACH-000120,Uridine,53,109,15,0.102
ACH-000120,Valdecoxib,202,404,60,0.1099
ACH-000120,Vandetanib,439,438,116,0.1524
ACH-000120,Vemurafenib,145,5,2,0.0135
ACH-000120,Verapamil,4,74,2,0.0263
ACH-000120,Verteporfin,49,655,24,0.0353
ACH-000120,Vilanterol,38,294,13,0.0408
ACH-000120,Vinblastine (sulfate),164,1592,138,0.0853
ACH-000120,Vismodegib,118,165,27,0.1055
ACH-000120,Vitamin K4,170,253,48,0.128
ACH-000120,Volasertib,75,12,8,0.1013
ACH-000120,Voriconazole,129,135,20,0.082
ACH-000120,Vortioxetine,252,404,71,0.1214
ACH-000120,XRK3F2,566,7,4,0.007
ACH-000120,Zileuton,182,192,32,0.0936
ACH-000120,c-Kit-IN-1,1004,4,4,0.004
ACH-000120,crizotinib,6,169,5,0.0294
ACH-000120,olaparib,120,27,12,0.0889
ACH-000120,palbociclib,105,44,15,0.1119
ACH-000120,venetoclax,108,136,34,0.1619
ACH-000120,vincristine,729,35,18,0.0241
ACH-000120,γ-Oryzanol,64,138,18,0.0978
ACH-000138,(R)-Verapamil (hydrochloride),1646,2556,687,0.1954
ACH-000138,(S)-Crizotinib,1147,1595,496,0.2208
ACH-000138,18β-Glycyrrhetinic acid,1162,2643,597,0.1861
ACH-000138,4EGI-1,3099,2023,1074,0.2653
ACH-000138,5-Azacytidine,1733,4043,851,0.1728
ACH-000138,5-Fluorouracil,1533,1553,493,0.1901
ACH-000138,8-Hydroxyquinoline,1536,2927,891,0.2494
ACH-000138,9-ING-41,4490,2710,1353,0.2314
ACH-000138,APTO-253,3020,1967,820,0.1968
ACH-000138,AT7519,2005,1490,683,0.2429
ACH-000138,AZD-7648,3538,3040,1381,0.2657
ACH-000138,AZD-8055,3572,3641,1592,0.2832
ACH-000138,AZD1390,3014,2311,975,0.2241
ACH-000138,AZD2858,1637,1625,366,0.1264
ACH-000138,Abemaciclib,5700,3320,2220,0.3265
ACH-000138,Abiraterone acetate,2308,2442,807,0.2047
ACH-000138,Acetazolamide,2416,1748,708,0.2049
ACH-000138,Acetohexamide,935,2456,447,0.1518
ACH-000138,Adagrasib,4198,3758,2032,0.343
ACH-000138,Adenine,1371,2293,724,0.2463
ACH-000138,Adenosine,1244,3300,795,0.2121
ACH-000138,Afatinib,4336,6693,2822,0.3439
ACH-000138,Aliskiren,1069,2584,618,0.2036
ACH-000138,Allantoin,1943,3202,1039,0.253
ACH-000138,Allopurinol,2599,2305,921,0.2312
ACH-000138,Almonertinib (hydrochloride),1517,2655,716,0.2072
ACH-000138,Almonertinib (mesylate),2774,2077,951,0.2438
ACH-000138,Alpelisib,2528,3000,1249,0.2919
ACH-000138,Altretamine,811,1269,429,0.2598
ACH-000138,Amsacrine,1521,5125,1075,0.193
ACH-000138,Anastrozole,1717,1715,702,0.2571
ACH-000138,Anethole trithione,2518,3404,1504,0.3404
ACH-000138,Apalutamide,577,2287,290,0.1127
ACH-000138,Aprepitant,2938,1540,739,0.1976
ACH-000138,Arbutin,967,1570,478,0.2322
ACH-000138,Artemether,1807,2057,643,0.1996
ACH-000138,Artesunate,2359,2812,1183,0.2966
ACH-000138,Asciminib,3108,2364,1019,0.2288
ACH-000138,Aspirin,1635,1732,615,0.2235
ACH-000138,Ataluren,2142,1453,510,0.1653
ACH-000138,Atazanavir (sulfate),1827,2662,932,0.262
ACH-000138,Auranofin,1884,7135,1280,0.1654
ACH-000138,Azithromycin (hydrate),1062,2358,541,0.1879
ACH-000138,BAY1125976,3877,4244,1740,0.2727
ACH-000138,BI-3406,4334,3218,1983,0.3561
ACH-000138,BI-78D3,4604,1737,948,0.1758
ACH-000138,Baicalin,1259,2802,789,0.2411
ACH-000138,Balsalazide (sodium hydrate),1078,2294,619,0.2248
ACH-000138,Belinostat,2234,10309,1838,0.1717
ACH-000138,Belumosudil,2636,3642,1284,0.2571
ACH-000138,Belumosudil (mesylate),2969,1785,819,0.2081
ACH-000138,Belzutifan,2244,2230,641,0.1672
ACH-000138,Bendamustine,784,1348,410,0.2381
ACH-000138,Benproperine (phosphate),1187,1967,538,0.2057
ACH-000138,Bentamapimod,3498,2622,1128,0.226
ACH-000138,Benztropine (mesylate),1834,1383,475,0.1732
ACH-000138,Berbamine,3701,2297,1228,0.2574
ACH-000138,Berbamine (dihydrochloride),3258,1908,928,0.219
ACH-000138,Berberine (chloride hydrate),1145,2482,634,0.2118
ACH-000138,Bergenin,1042,2499,591,0.2003
ACH-000138,Bestatin,532,1733,278,0.1399
ACH-000138,Bestatin (hydrochloride),2394,2467,946,0.2416
ACH-000138,Betamethasone dipropionate,1526,3112,984,0.2693
ACH-000138,Bexarotene,1910,2724,926,0.2497
ACH-000138,Bicalutamide,1222,2225,508,0.1728
ACH-000138,Bimatoprost,1154,2800,592,0.1761
ACH-000138,Bimiralisib,5023,5591,2540,0.3146
ACH-000138,Binimetinib,6642,6351,3983,0.4421
ACH-000138,Bisoprolol (hemifumarate),1569,2410,841,0.268
ACH-000138,Bortezomib,6074,6793,3809,0.4205
ACH-000138,Bosentan (hydrate),1199,2843,688,0.2051
ACH-000138,Brimonidine,1388,2093,527,0.1784
ACH-000138,Brivudine,3933,6136,2157,0.2726
ACH-000138,Budesonide,3476,4179,1799,0.3072
ACH-000138,Busulfan,2293,2361,845,0.2218
ACH-000138,CP21R7,2554,1315,579,0.176
ACH-000138,Cabozantinib (S-malate),1924,3260,1007,0.2411
ACH-000138,Canagliflozin,1002,1819,479,0.2045
ACH-000138,Canagliflozin (hemihydrate),2163,2031,633,0.1778
ACH-000138,Capivasertib,1972,1649,667,0.2258
ACH-000138,Capmatinib,2768,2409,1039,0.2511
ACH-000138,Captopril,2658,1428,702,0.2074
ACH-000138,Carbamazepine,2102,2847,962,0.2413
ACH-000138,Celecoxib,3619,1394,666,0.1532
ACH-000138,Cepharanthine,1605,2942,841,0.2269
ACH-000138,Chlorhexidine (diacetate),2666,3179,1311,0.2891
ACH-000138,Ciclopirox,1088,4024,692,0.1566
ACH-000138,Cilostazol,1932,3032,1042,0.2657
ACH-000138,Cinacalcet,1829,1832,609,0.1995
ACH-000138,Citalopram (hydrobromide),3025,1456,663,0.1737
ACH-000138,Clobetasol propionate,3723,4061,2047,0.3568
ACH-000138,Clofarabine,871,1861,419,0.1812
ACH-000138,Clonidine (hydrochloride),1713,3255,1160,0.3046
ACH-000138,Clopidogrel,2623,1646,757,0.2155
ACH-000138,Clotrimazole,1153,2693,632,0.1966
ACH-000138,Cloxacillin (sodium),1247,1806,612,0.2507
ACH-000138,Cobimetinib,806,3747,553,0.1383
ACH-000138,Crizotinib (hydrochloride),2584,3496,1267,0.2632
ACH-000138,Cyclosporin A,2537,3007,1167,0.2666
ACH-000138,Cysteamine (hydrochloride),1013,2236,591,0.2223
ACH-000138,Cytarabine,2883,2566,1013,0.2284
ACH-000138,Cytarabine (hydrochloride),1169,2695,626,0.1933
ACH-000138,DT-061,2053,1963,667,0.1992
ACH-000138,DTP3,4100,11223,1069,0.075
ACH-000138,Dabrafenib,3056,3460,1256,0.2388
ACH-000138,Daidzin,3366,2402,1154,0.2501
ACH-000138,Dapagliflozin,1361,1526,519,0.2192
ACH-000138,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",1082,2003,502,0.1943
ACH-000138,Darinaparsin,1503,4200,1049,0.2254
ACH-000138,Darolutamide,1992,2585,930,0.255
ACH-000138,Decitabine,1620,3719,1067,0.2498
ACH-000138,Delamanid,2142,2707,1057,0.2787
ACH-000138,Demeclocycline,1074,2211,538,0.1959
ACH-000138,Dexamethasone,2506,3345,1511,0.3482
ACH-000138,Dexmedetomidine,1070,1875,521,0.2149
ACH-000138,Diammonium Glycyrrhizinate,1747,3203,823,0.1994
ACH-000138,Digitoxin,2111,7818,1683,0.2041
ACH-000138,Dihydroartemisinin,1119,3129,593,0.1622
ACH-000138,Dimethyl fumarate,563,2148,341,0.1439
ACH-000138,Dinaciclib,6481,11118,5552,0.4609
ACH-000138,Diphenhydramine,1836,2176,846,0.2672
ACH-000138,Docetaxel,3053,3497,1374,0.2655
ACH-000138,Docetaxel (Trihydrate),494,3522,327,0.0886
ACH-000138,Dorzolamide (hydrochloride),851,2273,448,0.1674
ACH-000138,Doxorubicin (hydrochloride),1084,5584,750,0.1267
ACH-000138,Doxycycline (monohydrate),797,2164,430,0.1699
ACH-000138,Drospirenone,2302,3110,1125,0.2624
ACH-000138,ERK5-IN-2,3216,3961,1391,0.2404
ACH-000138,ETC-206,2360,1392,660,0.2135
ACH-000138,EX229,4847,4316,2270,0.3293
ACH-000138,Econazole,2191,2424,760,0.1971
ACH-000138,Elagolix sodium,1425,3238,844,0.221
ACH-000138,Elimusertib hydrochloride,4146,4333,1969,0.3025
ACH-000138,Encorafenib,10518,4555,229,0.0154
ACH-000138,Entecavir (monohydrate),322,2331,198,0.0807
ACH-000138,Entrectinib,2137,3534,1140,0.2516
ACH-000138,Epirubicin (hydrochloride),460,5750,324,0.055
ACH-000138,Eplerenone,680,1130,280,0.183
ACH-000138,Erdafitinib ,10014,1766,137,0.0118
ACH-000138,Erlotinib,1211,2245,562,0.1942
ACH-000138,Erythromycin,1140,2085,480,0.1749
