head,rep,global_sp,global_pe,within,interact,p
linear,expr/pca,-0.04708628623544358,-0.107257961368132,0.03523800403345734,0.13001167769560143,0.105
linear,expr/nmf,-0.0954780058054219,-0.17549561260421329,0.010902365888804479,0.18411833398209418,0.035
linear,stack/pca,-0.16834044269351825,-0.21643019143065145,-0.057237420916223525,0.1304009342156481,0.085
kernel,expr/pca,-0.032003846889844624,-0.08023186178131762,0.15555339902062115,0.22460101206695213,0.005
kernel,expr/nmf,-0.11688106674564529,-0.16817615435949934,0.05061812734087795,-0.0023355391202802625,0.655
kernel,stack/pca,-0.16529405838539732,-0.22420363581244326,0.03231772745609901,0.07629427792915532,0.225
bilinear,all soragni,-0.03184990938484831,-0.13706753701264904,-0.07737961106653173,-0.045673076923076934,0.465
bilinear,16 shared,0.02061093199134547,-0.038030142887909645,-0.11504322843005578,-0.018902720147533428,0.42
