gene,n_pairs,r
TCP10L,1575,0.232
CAPN5,1560,0.232
MYL12B,1598,0.232
RNF19B,1579,0.232
FZD7,1540,0.2319
SHISA5,1594,0.2319
PBX1,1592,0.2317
RDH10,1564,0.2316
PTPRR,1583,0.2316
ERGIC3,1592,0.2315
ZNF184,1561,0.2315
AOAH,1484,0.2315
WDR49,1570,0.2315
BORCS5,1578,0.2314
ZNF345,1561,0.2314
EEF1D,1598,0.2313
KLF5,1598,0.2313
MUC20,1559,0.2313
TMUB2,1552,0.2313
NR2F1,1572,0.2313
CDK16,1577,0.2312
SPG21,1564,0.2312
MFN1,1593,0.2312
UHRF1,1538,0.2311
EIF2A,1598,0.2311
RSL1D1,1596,0.231
RIT1,1583,0.231
ESPL1,1539,0.231
GAN,1599,0.231
ZNF385D,1537,0.2309
IFRD2,1532,0.2309
IL1R1,1547,0.2309
GABBR1,1588,0.2309
DOCK6,1592,0.2308
PRPF40A,1600,0.2308
GIPC2,1594,0.2308
ZFX,1593,0.2307
CREM,1587,0.2307
SLC25A44,1550,0.2306
ZNF462,1590,0.2306
BDKRB2,1539,0.2306
PPP1R10,1594,0.2305
POLR2E,1576,0.2305
ULK4,1591,0.2305
CAMKK1,1568,0.2304
YES1,1599,0.2304
SGSM2,1562,0.2304
KIAA0319L,1597,0.2304
ALG9,1589,0.2303
ADAM28,1541,0.2303
CDCA7,1539,0.2303
SLC7A5,1599,0.2303
TSTD3,1575,0.2302
GRN,1577,0.2302
TAF1B,1582,0.2301
LAMC1,1599,0.23
LINGO2,1592,0.23
SERPINB6,1584,0.23
ARHGEF1,1576,0.2299
KIRREL1,1595,0.2298
HEXIM1,1585,0.2298
MAL2,1596,0.2298
ERVV-1,30,0.2297
IL1R2,1372,0.2296
ATP2C2,1570,0.2296
IFNGR2,1596,0.2296
RSBN1L,1592,0.2295
ADARB2,1583,0.2295
LGALS3,1597,0.2295
PRR36,1403,0.2295
SLC35F5,1599,0.2295
RC3H1,1600,0.2294
ADAM12,1563,0.2294
SCG5,1560,0.2294
ZW10,1578,0.2293
MGMT,1590,0.2293
SPATA5,1598,0.2293
LMF1,1586,0.2292
KRT80,1565,0.2292
SLC33A1,1594,0.2291
MUC5AC,1470,0.2291
CORO2B,1528,0.2291
ZNF783,1552,0.2291
CLCN7,1572,0.2291
IDH3A,1560,0.229
PI4KA,1592,0.229
COL4A5,1597,0.2289
ADGRL4,1489,0.2289
TM9SF2,1600,0.2289
LAPTM4B,1575,0.2288
SLC20A2,1599,0.2288
ZNF394,1594,0.2288
RFC3,1594,0.2287
NFKB2,1589,0.2287
SOX6,1585,0.2287
KIN,1579,0.2286
TMEM156,1563,0.2286
PSMB2,1586,0.2286
PCM1,1600,0.2286
PRL,145,0.2286
SLC6A13,1532,0.2285
ZNF227,1540,0.2285
MGAT4A,1558,0.2285
RUVBL2,1565,0.2285
LY6D,360,0.2284
LYAR,1574,0.2284
PLEKHB2,1599,0.2284
BTG2,1537,0.2283
ARL8B,1596,0.2283
SLC16A1-AS1,1580,0.2282
SLC9A3-AS1,1559,0.2282
RABL6,1595,0.2282
KCNC3,1526,0.2281
SLTM,1600,0.2281
DAG1,1589,0.2281
POFUT2,1576,0.2281
SYTL5,1390,0.228
SRGN,1586,0.228
MTPN,1600,0.228
RELL1,1576,0.2279
IL12A-AS1,1490,0.2279
ZRANB2-AS1,1524,0.2278
CPA6,1530,0.2278
TRIM27,1578,0.2278
KCNE4,1545,0.2278
ITPRIPL2,1577,0.2278
PTPN18,1557,0.2277
LY6E,1583,0.2277
ZNF335,1583,0.2277
AMOTL1,1591,0.2277
PSMB8,1539,0.2276
FSIP2-AS1,1538,0.2276
AMPD3,1594,0.2276
CREB1,1596,0.2276
SNRPD1,1559,0.2275
SOGA1,1587,0.2275
MEGF9,1572,0.2275
AKR1B1,1558,0.2274
FAM168B,1599,0.2274
SMARCA2,1598,0.2274
CASC9,1594,0.2273
OR8B8,29,0.2273
ZNF559,1543,0.2272
AVPR1A,179,0.2271
SMNDC1,1590,0.2271
MUC1,1539,0.2271
TEPSIN,1521,0.2271
LYRM4,1597,0.2271
TNFRSF10B,1598,0.227
SYNE3,1569,0.227
FBXO39,1455,0.227
OLA1,1598,0.227
EFTUD2,1597,0.227
SMIM3,1553,0.227
SLAIN2,1591,0.227
HUWE1,1600,0.2269
SEC22B,1585,0.2269
CSF1,1551,0.2268
GNG12,1597,0.2268
METTL8,1584,0.2268
GM2A,1574,0.2268
ABCB7,1596,0.2268
DEPDC1B,1563,0.2267
PLBD2,1573,0.2267
BBC3,1556,0.2267
SMG1,1600,0.2266
HNMT,1530,0.2266
UQCRH,1588,0.2265
PPCDC,1578,0.2265
UAP1L1,1539,0.2265
IL7R,1506,0.2265
MCM6,1560,0.2265
NECTIN3,1588,0.2265
CD320,1557,0.2265
FAM234B,1554,0.2265
RBMS2,1596,0.2264
ACER2,1552,0.2264
POLG2,1584,0.2264
TNFSF13B,1555,0.2264
XPO4,1599,0.2263
CYP51A1,1598,0.2263
TSHZ2,1594,0.2262
ADAMTSL1,1528,0.2261
NISCH,1570,0.2261
DIRC3,1572,0.2261
CDC45,1542,0.226
TLCD2,1570,0.226
POU4F2,79,0.226
UPRT,1569,0.226
TAF4,1593,0.2259
STUB1,1567,0.2259
SLC35G2,1560,0.2259
RFLNB,1525,0.2258
SEMA3B,1574,0.2258
HYI,1505,0.2258
NID1,1558,0.2257
ATL2,1597,0.2256
SLC25A28,1544,0.2256
TC2N,1579,0.2256
ABCC1,1600,0.2256
ECHS1,1567,0.2255
RNF138,1582,0.2255
MCM10,1547,0.2255
FBN1,1591,0.2255
SRM,1553,0.2255
EEA1,1596,0.2254
ADIPOR2,1600,0.2253
CPEB2,1598,0.2252
MATN2,1547,0.2252
BHLHE40-AS1,1570,0.2251
FBXO43,1456,0.2251
POLR2L,1585,0.225
CDK4,1544,0.2249
LRIG3,1565,0.2249
QPCTL,1578,0.2249
ZNF846,1544,0.2248
KRT17,1544,0.2248
SFI1,1579,0.2248
SUMF2,1579,0.2248
ANKRD11,1600,0.2248
KCNC4,1542,0.2247
CACUL1,1597,0.2247
CCNJL,1565,0.2246
MCM5,1544,0.2246
GPR158,1550,0.2246
TESK1,1530,0.2246
SLC9C1,1493,0.2245
P4HA3,1548,0.2245
ALKBH1,1574,0.2245
USPL1,1598,0.2244
KCTD20,1596,0.2243
SF1,1599,0.2242
SLC15A4,1578,0.2242
KNSTRN,1543,0.2242
GJC1,1578,0.2242
NELFB,1570,0.2241
GPR157,1566,0.2241
KRT13,1026,0.2241
NCAPH,1546,0.2241
TNFRSF11A,1559,0.2241
TMEM131,1600,0.2241
SRSF7,1595,0.224
NEGR1,1577,0.224
ZSCAN26,1541,0.224
PRKAG2,1587,0.224
DIO3,713,0.224
COL20A1,1499,0.224
CATSPERB,1584,0.224
ZNF627,1549,0.2238
RGS6,1552,0.2238
ASTL,1315,0.2238
TAF1,1600,0.2238
FOXC1,1592,0.2237
ADGRA3,1591,0.2236
CPEB4,1598,0.2236
KRT6B,726,0.2235
NOTCH2,1596,0.2235
CDCA4,1544,0.2234
HSF4,1537,0.2234
GPN1,1575,0.2233
TGFBR1,1599,0.2233
ITGA11,1550,0.2233
RAB2B,1586,0.2232
ADAMTS9-AS2,1566,0.2232
SCLT1,1597,0.2232
ABLIM3,1585,0.2232
SLC35D1,1567,0.2232
TSR1,1593,0.2231
TFAM,1588,0.2231
STAMBPL1,1563,0.2231
PPP5C,1568,0.2231
UCHL1,1566,0.2231
TNKS2,1599,0.2231
SLC39A6,1594,0.223
HSPB2,191,0.223
ACAT1,1571,0.2229
OR51E1,154,0.2229
HAND1,415,0.2229
RCL1,1575,0.2229
DCLRE1C,1568,0.2229
DDR2,1577,0.2229
MAGEF1,1542,0.2228
TNFRSF6B,1511,0.2227
RORA-AS1,1569,0.2227
QKI,1599,0.2227
SOX3,178,0.2226
SLC9A3R1,1567,0.2226
OSBPL3,1599,0.2225
BRCC3,1584,0.2225
BLACAT1,1384,0.2225
SERPINB2,1544,0.2224
KYAT3,1580,0.2224
BMPR1B,1564,0.2224
ETS2,1594,0.2223
TOM1L1,1587,0.2223
LSM7,1553,0.2223
DNMT3A,1586,0.2223
SLC2A4RG,1552,0.2223
CPSF2,1592,0.2222
PHKA2,1584,0.2222
FAM177A1,1597,0.2222
GCC1,1557,0.2222
ZNF195,1573,0.2222
MYO1C,1591,0.2221
NBR1,1591,0.2221
KRI1,1559,0.2221
MMRN2,1478,0.2221
LUC7L3,1600,0.2219
ZNRF3,1597,0.2219
CORIN,1559,0.2219
EFNB1,1546,0.2219
AGBL1,1514,0.2218
OXCT1,1583,0.2218
CXCL2,1566,0.2218
REV3L,1600,0.2217
SLFN5,1596,0.2217
ORAI3,1546,0.2217
MICB,1511,0.2216
ZNF765,1567,0.2216
SEM1,1597,0.2216
NFS1,1559,0.2215
MID2,1552,0.2215
RASSF3,1597,0.2215
PTPN22,1526,0.2214
PRKCG,1528,0.2214
COQ2,1542,0.2214
CTSC,1590,0.2214
ZNF83,1596,0.2213
DGKI,1575,0.2213
CACTIN,1534,0.2213
RBFOX3,1493,0.2213
STC2,1598,0.2212
ARL4C,1579,0.2212
ZNF280D,1588,0.2212
PSMA7,1597,0.2212
LRP5L,1570,0.2212
CALML5,39,0.2212
PDE3A,1589,0.2211
GGCT,1568,0.2211
ADCY3,1548,0.2211
FTCDNL1,1508,0.221
MBNL1,1600,0.221
GRB2,1600,0.221
SFN,1566,0.2209
CDKN3,1550,0.2208
ABTB1,1535,0.2208
NSUN2,1595,0.2208
VAV3,1524,0.2207
ERH,1585,0.2207
ZBTB44,1599,0.2207
PXDN,1573,0.2206
AMDHD2,1547,0.2206
ADM,1597,0.2206
TBC1D4,1597,0.2205
APEX1,1566,0.2205
NCALD,1529,0.2205
CENPA,1558,0.2205
TRIM34,1487,0.2205
FAM118A,1569,0.2205
SLC16A2,1540,0.2204
RPF2,1588,0.2203
BCLAF3,1582,0.2203
ZNF283,1565,0.2203
ORC5,1577,0.2203
DKK1,1550,0.2203
CYP3A5,1581,0.2201
EIF1AD,1550,0.2201
SNED1,1580,0.22
IL7,1578,0.22
SH3YL1,1588,0.22
TMEM39B,1566,0.2199
TMEM241,1573,0.2199
CNPY3,1554,0.2199
LMO4,1588,0.2198
ENY2,1589,0.2197
C2,1548,0.2197
AQR,1600,0.2197
ECE1,1599,0.2196
MAN1B1,1563,0.2196
TTC7B,1572,0.2196
SPC25,1556,0.2196
GEN1,1572,0.2196
SDHB,1583,0.2196
CDH1,1596,0.2196
MCM8,1577,0.2196
TBCEL,1561,0.2195
TEAD3,1557,0.2195
FAM83G,1547,0.2195
SMIM8,1565,0.2195
IER5L,1543,0.2195
SEMA7A,1540,0.2195
MTMR9,1583,0.2194
PLS3,1593,0.2194
PIK3C2A,1600,0.2194
ADRM1,1575,0.2194
APOC3,203,0.2193
BCO2,1519,0.2193
RAN,1598,0.2193
LRRC75A,1579,0.2193
PLEKHA8,1594,0.2192
TUBA1C,1580,0.2192
SLC7A2,1592,0.2192
CLDN5,246,0.2191
NKD1,1597,0.2191
KIRREL3,1539,0.2189
ADK,1600,0.2189
CAST,1600,0.2189
RAE1,1572,0.2189
AP3M2,1561,0.2188
FZD8,1494,0.2187
TPCN2,1568,0.2187
TRAPPC9,1599,0.2186
CRCT1,22,0.2185
UBQLN1,1598,0.2184
RNF10,1596,0.2184
TRAPPC12,1596,0.2184
LEMD2,1552,0.2184
ANAPC2,1542,0.2184
HS3ST3A1,1568,0.2184
FANCC,1592,0.2183
BMPER,1555,0.2183
PCAT1,1596,0.2182
CAPN8,1525,0.2182
MCF2L,1578,0.2182
SLC12A2,1600,0.2181
BCL2L2,1562,0.2181
DHRS2,1515,0.218
WNK2,1540,0.218
BCAS2,1583,0.218
GABRE,1572,0.218
LBR,1584,0.218
MTHFS,1571,0.2179
TECPR2,1567,0.2179
SULF2,1570,0.2178
PRDX5,1563,0.2177
CNOT9,1594,0.2176
TEX9,1566,0.2175
EFCAB11,1571,0.2175
PCBD2,1579,0.2175
ODF3B,1392,0.2175
NCR3,64,0.2175
TCAF2,1535,0.2174
RBPMS,1586,0.2174
TNFSF9,1517,0.2174
CDKN2B,1535,0.2174
SRSF6,1591,0.2174
FPGT,1563,0.2173
ALDH6A1,1546,0.2172
NXF1,1574,0.2172
MIR548A1HG,1425,0.2172
GPSM2,1587,0.2172
PPM1A,1592,0.2172
CBR3,1537,0.2171
AMFR,1585,0.2171
POLR1C,1574,0.2171
JPH2,1555,0.217
PDZRN3,1552,0.217
PTS,1590,0.217
TLR3,1498,0.2169
ZNF385A,1547,0.2169
MLLT1,1550,0.2169
TCAF1,1587,0.2169
GMDS,1600,0.2168
NAPA,1582,0.2168
GRID2,1530,0.2167
MAGI3,1600,0.2167
SLC44A1,1599,0.2167
OSBPL10,1599,0.2167
ZNF440,1569,0.2167
KLHL12,1582,0.2167
PIGN,1596,0.2167
FXYD5,1583,0.2167
PLSCR5,167,0.2167
AADAC,1464,0.2166
KDM5C,1600,0.2166
PDCD11,1586,0.2165
MYO16-AS1,1563,0.2165
SRSF2,1586,0.2165
USF1,1550,0.2164
MYO5C,1586,0.2164
AFF3,1584,0.2164
ZSCAN31,1536,0.2164
EDC4,1553,0.2164
DCAKD,1578,0.2163
SUPV3L1,1583,0.2163
THADA,1594,0.2163
UNC13D,1560,0.2163
MTMR4,1575,0.2162
IDE,1579,0.2162
MGAT2,1532,0.2162
CHPF,1562,0.2161
EIF1AX,1595,0.216
UBA7,1489,0.216
AMN,1439,0.216
DNAH17,1521,0.216
GJA1,1573,0.2159
ENKUR,1567,0.2159
DNAJC27,1554,0.2158
IFT57,1555,0.2158
WDR37,1597,0.2157
UBE2D1,1590,0.2157
NECTIN2,1595,0.2157
PRPF3,1599,0.2157
SNX33,1567,0.2157
MAZ,1568,0.2157
KLHL23,1580,0.2155
ZNF493,1549,0.2155
EDF1,1590,0.2154
TRIM4,1591,0.2153
CD9,1595,0.2153
ZNF44,1571,0.2153
DSE,1585,0.2151
TCAIM,1584,0.2151
STK25,1558,0.2151
PRDM8,1510,0.2151
CD22,1364,0.2151
ADORA2B,1555,0.2151
ILK,1586,0.2151
CAPRIN2,1597,0.215
XPC,1594,0.215
RIMKLB,1582,0.215
PIK3R4,1595,0.215
XACT,1557,0.215
C2CD5,1587,0.2149
CDC42BPA,1600,0.2149
GPM6B,1505,0.2149
PER3,1576,0.2149
HNRNPF,1594,0.2148
HARS2,1555,0.2148
TANGO6,1587,0.2146
CARD19,1546,0.2146
MTUS2,1508,0.2146
TCF19,1520,0.2146
KLF17,911,0.2145
DMPK,1576,0.2145
MYL9,1529,0.2145
SLC22A15,1546,0.2144
PPP1R18,1585,0.2144
DUBR,1551,0.2143
PTMA,1600,0.2143
DNAH1,1548,0.2143
EIF4G3,1600,0.2142
KCNT2,1537,0.2142
COL4A1,1577,0.2142
GRIN2B,1577,0.2142
NUAK1,1564,0.2142
CBX4,1579,0.2142
GPC1,1555,0.2141
PIP4K2A,1596,0.2141
SPDYA,1600,0.2141
CRIPT,1577,0.2141
THBS3,1554,0.2141
EGLN3-AS1,871,0.214
MFSD6L,137,0.214
OTX2,94,0.214
PDE3B,1586,0.214
PRKCA-AS1,1495,0.214
MCOLN2,1536,0.214
CSTF2T,1528,0.2139
AOX1,1518,0.2139
OGDH,1600,0.2139
CHMP1B-AS1,1521,0.2137
TMEM108,1516,0.2137
RAD21,1600,0.2137
DNAH12,1535,0.2136
LTB4R,1575,0.2136
CYSTM1,1597,0.2136
PFKFB2,1567,0.2136
MYO5A,1598,0.2135
GSDMB,1577,0.2134
PDE2A,1545,0.2134
WLS,1595,0.2133
CD63,1595,0.2133
ZCCHC9,1584,0.2133
NSMF,1574,0.2133
ZNF777,1555,0.2132
PHEX,1555,0.2132
GINS4,1540,0.2132
MCF2L2,1562,0.2132
CXCL5,1499,0.2132
CACNG8,1562,0.2132
FAM227B,1545,0.2132
GPT2,1586,0.2132
PYGB,1596,0.2132
PLCB1,1600,0.2131
AIG1,1589,0.2131
GK,1583,0.2131
MSC-AS1,1590,0.213
CLDN4,1591,0.213
SGK3,1587,0.213
TAF2,1598,0.2129
INTS2,1594,0.2128
AGFG1,1600,0.2127
NACC1,1564,0.2127
FSCN1,1594,0.2127
MYO1B,1597,0.2127
AATF,1598,0.2126
NPIPB3,1397,0.2124
ZNF185,1568,0.2124
TMEM191C,644,0.2124
THRB,1589,0.2123
FAS,1561,0.2123
NDUFS8,1580,0.2122
RPA1,1586,0.2122
CPQ,1579,0.2122
LTB,1268,0.212
RHOH,1497,0.212
TRIB2,1565,0.212
PI3,1393,0.212
MYOM1,1543,0.212
SLC25A3,1595,0.212
TBX22,131,0.2119
IL1RAPL1,1592,0.2119
PLUT,1351,0.2118
POLRMT,1543,0.2118
STARD7,1583,0.2117
KRT31,24,0.2117
MTA1,1578,0.2115
MTHFR,1568,0.2115
JAM3,1559,0.2114
TGFBR3,1563,0.2114
LCMT1-AS1,1479,0.2114
DOCK3,1590,0.2114
AMIGO2,1547,0.2114
LCE5A,54,0.2114
NBPF1,1558,0.2113
SERPINB8,1558,0.2113
NPRL2,1539,0.2113
CLEC10A,95,0.2113
MBD4,1566,0.2112
TARID,1539,0.2112
ZNF141,1552,0.2112
UCA1,1496,0.2111
ZNF81,1556,0.2111
FYN,1600,0.2111
TCIRG1,1538,0.2111
HOXB3,1581,0.2111
ANKDD1B,1553,0.2109
ARMC2,1555,0.2109
FBXO10,1556,0.2108
GATAD1,1590,0.2108
POLR3D,1573,0.2108
UBXN4,1600,0.2107
TNFRSF9,1511,0.2106
CHAC1,1507,0.2106
PLCH2,1357,0.2106
GRSF1,1592,0.2106
MC5R,118,0.2106
NEK10,1553,0.2106
AK2,1595,0.2105
ZMIZ1-AS1,1540,0.2105
USP2-AS1,1542,0.2105
SLC15A3,1446,0.2105
PRICKLE2,1561,0.2105
PRKCH,1583,0.2105
ZSCAN29,1541,0.2104
TMEM178B,1593,0.2104
IRF1,1595,0.2104
UTY,1585,0.2104
STOM,1568,0.2104
ARL14,1278,0.2103
CCDC28A,1572,0.2103
PLEKHF2,1577,0.2103
FGD6,1593,0.2102
RAVER2,1580,0.2101
CCDC30,1551,0.21
CYP1B1-AS1,1530,0.2099
TOR4A,1532,0.2099
PLEKHG2,1568,0.2099
ARPC4,1570,0.2098
AKR1B10,1487,0.2098
OR5H1,25,0.2098
PCSK5,1593,0.2098
GPAT4,1570,0.2098
PPP1R1A,239,0.2097
ZMPSTE24,1573,0.2096
CSNK2B,1569,0.2096
UBE2V1,1600,0.2096
FBXO31,1569,0.2096
SERPINB5,1546,0.2096
TBC1D19,1594,0.2095
CASC22,32,0.2095
AP1S2,1573,0.2095
LURAP1L,1575,0.2095
LONRF3,1576,0.2095
TPRG1,1566,0.2095
PLEKHH3,1545,0.2094
MS4A14,112,0.2094
THEMIS2,1537,0.2094
OAZ1,1594,0.2093
OSBPL8,1600,0.2093
RARB,1565,0.2092
PSMA5,1581,0.2092
PLA2G4C,1548,0.2092
FADD,1537,0.2091
CACNB4,1582,0.2091
NR2F2,1588,0.2091
SLU7,1587,0.209
KPNA4,1599,0.209
IARS2,1591,0.209
CDT1,1532,0.2089
ENTPD8,831,0.2088
FAAH2,1590,0.2088
SAMD3,1574,0.2088
TNKS,1600,0.2088
IDI1,1576,0.2087
MGST1,1593,0.2086
PDSS1,1563,0.2086
ADAMTS1,1548,0.2086
RBM39,1600,0.2086
STK17B,1594,0.2085
EPHA4,1595,0.2084
COG2,1562,0.2084
SCML2,1558,0.2084
CGN,1549,0.2083
ZNF562,1574,0.2083
KIAA1586,1554,0.2083
EHD4,1588,0.2083
SLC5A4-AS1,1536,0.2082
WDR89,1563,0.2082
SLC26A2,1557,0.2082
ATF6B,1565,0.2082
MYH10,1598,0.2082
PTTG1,1555,0.2081
MCF2,1508,0.2081
CACNA1C,1568,0.208
ZNF417,1552,0.208
DAPK1,1570,0.208
TBC1D22B,1584,0.208
NSMCE1,1547,0.208
SCLY,1558,0.2079
CDK11A,1583,0.2079
SWT1,1577,0.2079
PRKCD,1569,0.2079
PC,1559,0.2079
ELMOD3,1572,0.2078
MMD2,1264,0.2078
RFX1,1578,0.2078
RIPK1,1594,0.2078
PSMB4,1578,0.2077
RALGPS2,1595,0.2077
TTLL7,1586,0.2077
PDE4B,1596,0.2077
CNNM1,1508,0.2077
NMNAT1,1555,0.2077
SLC16A1,1599,0.2076
SRGAP2C,1581,0.2076
DGCR8,1568,0.2076
EPHB6,1484,0.2076
CAVIN1,1600,0.2076
FLOT2,1571,0.2076
RNF217,1588,0.2076
THSD7A,1560,0.2076
OR9Q1,1488,0.2076
ZNF546,1578,0.2075
FARSB,1579,0.2075
CSGALNACT1,1600,0.2074
CPOX,1573,0.2074
FAM111A,1549,0.2074
POM121C,1596,0.2074
THRA,1566,0.2073
ANP32B,1599,0.2073
NAE1,1581,0.2073
PPP1R26,1558,0.2072
PRPF6,1590,0.2072
SYT7,1557,0.2072
AHRR,1592,0.2072
ZNF75A,1553,0.2071
KLK1,919,0.2071
RNF144B,1544,0.2071
CKM,1358,0.2069
ANAPC5,1594,0.2069
UPF3A,1591,0.2068
NAPRT,1490,0.2068
FRMD4B,1584,0.2068
CHTF18,1529,0.2067
ANKRD40,1576,0.2067
PTPRD,1597,0.2067
PAAF1,1561,0.2067
OSTF1,1567,0.2066
SPDYE5,1505,0.2066
SLC41A1,1574,0.2066
ROR1,1583,0.2066
KLHDC3,1551,0.2065
ARSJ,1579,0.2065
SLC24A1,1555,0.2065
SLC25A4,1561,0.2065
FYTTD1,1596,0.2065
HSP90B1,1600,0.2065
COX16,1600,0.2065
ZG16B,1387,0.2064
MAK16,1565,0.2064
LYPD1,1477,0.2064
MRPS2,1540,0.2064
MAP3K13,1598,0.2064
SLC22A18AS,1341,0.2063
MTMR11,1555,0.2063
KYAT1,1568,0.2063
CXADR,1593,0.2063
MAP7D2,1566,0.2062
SLC12A8,1580,0.2062
IKBKE,1558,0.2062
TMEM161A,1533,0.2062
LDHC,1515,0.2061
SERPINB3,1127,0.2061
DEGS1,1565,0.206
GAS5,1595,0.206
PPP2R5D,1559,0.206
KIDINS220,1598,0.2059
SLC1A1,1575,0.2059
SH3GL1,1591,0.2059
SLC23A2,1591,0.2059
INO80B,1549,0.2058
NEDD1,1585,0.2058
CNIH2,1489,0.2058
FBLN1,1535,0.2057
RNF157,1536,0.2057
PSMA3,1588,0.2057
GLUL,1553,0.2057
TSC22D4,1578,0.2057
LAMA2,1530,0.2056
PPM1L,1577,0.2056
NRG2,1559,0.2056
RAPGEF3,1498,0.2056
SNHG7,1586,0.2056
MYH15,1503,0.2055
ATP1B3,1600,0.2055
CCDC148,1548,0.2055
KIAA1522,1585,0.2055
ZNF182,1544,0.2053
SLC9A6,1555,0.2053
CNKSR3,1589,0.2053
TMEM106C,1549,0.2052
HCG17,1556,0.2052
PCSK6,1588,0.2052
EFCAB8,1532,0.2052
MAN2A2,1543,0.2052
ZFHX4-AS1,1423,0.2052
NRXN3,1586,0.2052
GRIA4,1489,0.2051
MRPS10,1572,0.2051
SOX9-AS1,1137,0.205
POMGNT1,1557,0.205
GOLGB1,1600,0.205
CACHD1,1585,0.2049
ZBTB4,1584,0.2049
BACE1,1560,0.2048
POU5F1,1525,0.2047
FRMPD4,1568,0.2047
NCOR1,1600,0.2047
FAM151B,1566,0.2047
COL8A1,1596,0.2046
SLC38A1,1600,0.2046
CALB2,1521,0.2046
DNAH6,1530,0.2046
NUDT22,1546,0.2046
POLD3,1582,0.2046
ZBTB5,1574,0.2046
DHTKD1,1570,0.2046
ELF3,1591,0.2045
VAC14,1592,0.2045
SAA2,1461,0.2045
SSR1,1597,0.2045
GDI2,1599,0.2044
ADGRE2,1532,0.2044
NR5A2,1540,0.2044
ARHGEF7,1598,0.2044
KCNH8,1590,0.2043
IMPG2,1537,0.2042
TMEM255B,1543,0.2042
GALC,1553,0.2042
LRIG1,1590,0.2041
PDK4,1536,0.2041
ACTA2,1483,0.204
ATP10D,1566,0.204
RNF150,1587,0.204
RHOQ,1588,0.2039
ZBTB49,1539,0.2039
POLR2B,1598,0.2038
API5,1593,0.2038
ANGPT1,1520,0.2038
CD83,1558,0.2038
ANKRD44,1578,0.2037
TSHZ3,1576,0.2037
FXR1,1600,0.2036
ALDH5A1,1537,0.2036
ONECUT3,1548,0.2036
DHPS,1565,0.2035
DENND2D,1388,0.2035
MAPKAPK3,1551,0.2034
NRIR,1425,0.2034
WDHD1,1576,0.2034
NECAB2,1444,0.2034
GMPR2,1568,0.2033
TBC1D9,1569,0.2033
UBXN2A,1588,0.2033
ABCD1,1533,0.2033
PLCXD2,1521,0.2033
TMEM192,1548,0.2033
CKB,1566,0.2032
SLC35A5,1553,0.2032
ECSCR,1306,0.2032
ZNF611,1592,0.2031
PTP4A1,1585,0.2031
ASXL1,1600,0.2031
PTK6,1518,0.2031
CXCR4,1503,0.203
CPE,1598,0.203
PCNX2,1599,0.203
ARPIN,1541,0.203
TCEAL9,1594,0.203
ODAM,180,0.203
PSMA6,1594,0.2029
MZF1,1564,0.2029
HIF1AN,1582,0.2029
CLIC4,1599,0.2028
PLEKHA6,1591,0.2028
ZDHHC8,1544,0.2028
B4GALT7,1538,0.2027
GID8,1584,0.2027
MGA,1596,0.2027
GBA2,1565,0.2026
LXN,1534,0.2026
EMC4,1582,0.2026
TMEM259,1580,0.2025
DNAJC6,1586,0.2025
TBC1D25,1560,0.2025
AP4E1,1567,0.2025
FRAS1,1596,0.2024
GAL,1356,0.2023
GALNT18,1585,0.2022
DLGAP1-AS1,1542,0.2022
MOSPD2,1573,0.2021
N4BP2L1,1553,0.2021
NPSR1-AS1,1581,0.2021
SNHG15,1546,0.202
PDCD1LG2,1504,0.202
PCGF5,1592,0.2018
PPP6C,1591,0.2018
TMEM87B,1590,0.2018
NAA20,1583,0.2018
NFE2L1,1598,0.2018
PPP1R1C,1542,0.2017
SYF2,1589,0.2017
ARL9,1541,0.2017
PLCE1,1564,0.2017
GALNT14,1568,0.2017
E2F8,1509,0.2016
SHF,1521,0.2016
PKD2L2,1524,0.2016
PIF1,1534,0.2016
RNFT1,1549,0.2016
ZNF521,1545,0.2016
KLK11,1154,0.2016
TACC1,1596,0.2016
S100A14,1564,0.2015
NAXE,1569,0.2015
COIL,1583,0.2015
RIN1,1534,0.2014
OAF,1544,0.2014
LYZ,1552,0.2013
ALK,1531,0.2013
TIMM17A,1577,0.2013
TPK1,1592,0.2013
HIF1A,1600,0.2013
UBALD2,1562,0.2013
TENM4,1547,0.2012
RFX5,1536,0.2012
CEBPB,1575,0.2012
HMCN1,1555,0.2012
NINJ1,1548,0.2011
CNTLN,1593,0.2011
ZBTB7C,1560,0.2011
ZNF84,1582,0.2011
LRRC15,1134,0.2011
LSG1,1589,0.201
CRYBG1,1579,0.2009
ZFAT,1576,0.2009
INTS13,1595,0.2009
GTF2IRD2,1562,0.2009
MT1E,1566,0.2009
DDC,1328,0.2008
IPO7,1600,0.2007
SF3B3,1598,0.2007
NOTCH3,1574,0.2007
DHCR7,1542,0.2006
ACSL5,1559,0.2006
CRNKL1,1577,0.2005
PPP4C,1581,0.2005
ATP6V1B2,1582,0.2005
ACSL1,1574,0.2005
PIN4,1582,0.2004
KCTD5,1573,0.2004
LARP4B,1599,0.2004
UBIAD1,1546,0.2004
HDX,1573,0.2003
HCG20,1515,0.2003
PRDM2,1598,0.2003
ERCC3,1578,0.2003
GCA,1565,0.2003
MBNL3,1521,0.2002
RNF170,1577,0.2002
KBTBD2,1596,0.2002
AP1M1,1575,0.2002
TSR2,1560,0.2002
SLC44A3,1555,0.2002
ANKRD1,1546,0.2002
EME2,1508,0.2001
