patient,drug,n_genes_scored,mean_abs_delta,r
ACH-000601,Bortezomib,11764,0.7434,0.4122
ACH-000601,Capivasertib,11772,0.4258,0.0676
ACH-000601,Cytarabine,12883,0.3208,0.0424
ACH-000601,Dabrafenib,11833,0.4643,0.0732
ACH-000601,Dinaciclib,11743,1.2196,0.6955
ACH-000601,Docetaxel,12072,0.4651,0.1882
ACH-000601,Erlotinib,12104,0.3929,0.0669
ACH-000601,Fulvestrant,12469,0.3827,0.1281
ACH-000601,Gefitinib,12637,0.3559,0.0773
ACH-000601,Gemcitabine,11997,0.4458,0.1074
ACH-000601,Ipatasertib,11690,0.5446,0.0693
ACH-000601,Irinotecan,11885,0.468,0.1339
ACH-000601,LJI308,11593,0.5283,0.1966
ACH-000601,Methotrexate,12384,0.3939,0.1323
ACH-000601,Oxaliplatin,11859,0.4574,0.1407
ACH-000601,Paclitaxel,11954,0.4431,0.0405
ACH-000601,Rapamycin,12119,0.4531,0.1985
ACH-000601,Retinoic acid,12225,0.3909,0.1038
ACH-000601,Temsirolimus,12072,0.4499,0.1615
ACH-000601,Trametinib,12725,0.4732,0.3371
ACH-000601,Trametinib (DMSO_TF solvate),12256,0.5427,0.3015
ACH-000601,Vismodegib,12427,0.3677,0.1043
ACH-000601,crizotinib,12131,0.401,0.0947
ACH-000601,olaparib,11288,0.467,0.1053
ACH-000601,palbociclib,11776,0.47,0.0951
ACH-000601,venetoclax,11822,0.5243,0.1777
ACH-000628,5-Azacytidine,4094,0.9252,0.0432
ACH-000628,5-Fluorouracil,4517,0.8836,-0.027
ACH-000628,AZD-8055,3637,0.9161,0.0467
ACH-000628,Afatinib,6780,0.6704,0.0363
ACH-000628,Alpelisib,3789,0.9349,0.0467
ACH-000628,Bicalutamide,4209,0.8712,-0.0026
ACH-000628,Bortezomib,4191,0.9247,0.0464
ACH-000628,Capivasertib,3938,0.9441,0.0466
ACH-000628,Cytarabine,5761,0.7656,0.0514
ACH-000628,Dabrafenib,3904,0.9437,0.0241
ACH-000628,Dinaciclib,3786,1.1591,0.2283
ACH-000628,Docetaxel,4646,0.858,0.06
ACH-000628,Erlotinib,3903,0.9344,0.0501
ACH-000628,Fulvestrant,4326,0.8624,0.0153
ACH-000628,Gefitinib,4706,0.8992,0.0227
ACH-000628,Gemcitabine,4821,0.9003,0.0184
ACH-000628,Ipatasertib,4134,0.9246,-0.0228
ACH-000628,Irinotecan,3823,0.8644,0.0259
ACH-000628,LJI308,3493,0.9225,0.0505
ACH-000628,Methotrexate,4048,0.8708,-0.0025
ACH-000628,Oxaliplatin,3600,0.9082,0.0294
ACH-000628,Paclitaxel,4209,0.9188,0.0209
ACH-000628,Rapamycin,4792,0.8265,0.0358
ACH-000628,Retinoic acid,4725,0.7777,0.0155
ACH-000628,Temsirolimus,4858,0.8034,0.0066
ACH-000628,Trametinib,5852,0.741,0.0098
ACH-000628,Trametinib (DMSO_TF solvate),4227,0.9104,0.0568
ACH-000628,Vismodegib,3802,0.9718,0.1008
ACH-000628,crizotinib,3878,0.9282,0.0895
ACH-000628,olaparib,4396,0.8941,0.0039
ACH-000628,palbociclib,3499,0.9569,0.0308
ACH-000628,venetoclax,3712,0.9244,0.0264
ACH-000669,5-Azacytidine,12144,0.409,0.104
ACH-000669,5-Fluorouracil,12200,0.4096,0.1163
ACH-000669,AZD-8055,12317,0.4253,0.0964
ACH-000669,Afatinib,12874,0.2936,0.0431
ACH-000669,Alpelisib,12257,0.4476,0.1265
ACH-000669,Bicalutamide,12388,0.3771,0.0722
ACH-000669,Bortezomib,12192,0.6486,0.3238
ACH-000669,Capivasertib,12292,0.4226,0.0769
ACH-000669,Cytarabine,12572,0.3411,0.0335
ACH-000669,Dabrafenib,12362,0.4276,0.0604
ACH-000669,Dinaciclib,11336,1.1375,0.6176
ACH-000669,Docetaxel,12440,0.4714,0.1881
ACH-000669,Erlotinib,11643,0.4149,0.0409
ACH-000669,Fulvestrant,12242,0.4046,0.0931
ACH-000669,Gefitinib,12349,0.3765,0.0703
ACH-000669,Gemcitabine,12510,0.4265,0.0979
ACH-000669,Ipatasertib,12221,0.5121,0.0462
ACH-000669,Irinotecan,12417,0.4179,0.1029
ACH-000669,LJI308,12168,0.4964,0.2024
ACH-000669,Methotrexate,12128,0.4218,0.1009
ACH-000669,Oxaliplatin,12352,0.4436,0.1463
ACH-000669,Paclitaxel,12506,0.4153,0.0989
ACH-000669,Rapamycin,12397,0.415,0.1422
ACH-000669,Retinoic acid,12474,0.3811,0.0987
ACH-000669,Temsirolimus,12377,0.4305,0.1586
ACH-000669,Trametinib,12778,0.4242,0.2876
ACH-000669,Trametinib (DMSO_TF solvate),11727,0.4956,0.2024
ACH-000669,Vismodegib,12139,0.3988,0.0982
ACH-000669,crizotinib,11517,0.437,0.0792
ACH-000669,olaparib,12316,0.7847,0.0511
ACH-000669,palbociclib,12277,0.4294,0.0963
ACH-000669,venetoclax,12327,0.4929,0.1544
ACH-000681,5-Azacytidine,12170,0.4093,0.1244
ACH-000681,5-Fluorouracil,12207,0.4092,0.1299
ACH-000681,AZD-8055,12586,0.3963,0.098
ACH-000681,Afatinib,13034,0.2848,0.0473
ACH-000681,Alpelisib,12459,0.4172,0.1254
ACH-000681,Bicalutamide,12399,0.3906,0.1174
ACH-000681,Bortezomib,12539,0.6704,0.4058
ACH-000681,Capivasertib,12526,0.3913,0.0594
ACH-000681,Cytarabine,12632,0.3508,0.0583
ACH-000681,Dabrafenib,12584,0.398,0.0393
ACH-000681,Dinaciclib,11376,1.2161,0.6505
ACH-000681,Docetaxel,12726,0.4359,0.2242
ACH-000681,Erlotinib,11767,0.415,0.0703
ACH-000681,Fulvestrant,12268,0.4139,0.115
ACH-000681,Gefitinib,12361,0.3691,0.0675
ACH-000681,Gemcitabine,12684,0.4108,0.1143
ACH-000681,Ipatasertib,12458,0.4952,0.0814
ACH-000681,Irinotecan,12636,0.4011,0.1216
ACH-000681,LJI308,12384,0.4701,0.2044
ACH-000681,Methotrexate,12130,0.4169,0.1264
ACH-000681,Oxaliplatin,12607,0.4088,0.1342
ACH-000681,Paclitaxel,12708,0.3881,0.0611
ACH-000681,Rapamycin,12687,0.3967,0.1536
ACH-000681,Retinoic acid,12762,0.3666,0.1088
ACH-000681,Temsirolimus,12645,0.3983,0.1611
ACH-000681,Trametinib,12895,0.4213,0.2773
ACH-000681,Trametinib (DMSO_TF solvate),11929,0.4848,0.1851
ACH-000681,Vismodegib,12125,0.3957,0.1172
ACH-000681,crizotinib,11684,0.435,0.1261
ACH-000681,olaparib,12550,0.8375,0.1243
ACH-000681,palbociclib,12536,0.3989,0.072
ACH-000681,venetoclax,12515,0.4776,0.1835
ACH-000750,5-Azacytidine,12194,0.457,0.1431
ACH-000750,5-Fluorouracil,12226,0.429,0.1417
ACH-000750,AZD-8055,12325,0.4213,0.09
ACH-000750,Afatinib,12985,0.2832,0.0448
ACH-000750,Alpelisib,12318,0.4251,0.1058
ACH-000750,Bicalutamide,12445,0.4012,0.1388
ACH-000750,Bortezomib,12287,0.6772,0.3749
ACH-000750,Capivasertib,12323,0.4034,0.1053
ACH-000750,Cytarabine,12708,0.3588,0.0754
ACH-000750,Dabrafenib,12338,0.4229,0.0509
ACH-000750,Dinaciclib,11718,1.1774,0.642
ACH-000750,Docetaxel,12570,0.453,0.2125
ACH-000750,Erlotinib,11862,0.4417,0.0587
ACH-000750,Fulvestrant,12278,0.4301,0.1383
ACH-000750,Gefitinib,12389,0.3813,0.0478
ACH-000750,Gemcitabine,12493,0.4135,0.0641
ACH-000750,Ipatasertib,12276,0.5274,-0.0297
ACH-000750,Irinotecan,12480,0.4175,0.1264
ACH-000750,LJI308,12193,0.5096,0.2316
ACH-000750,Methotrexate,12116,0.4261,0.1296
ACH-000750,Oxaliplatin,12437,0.4276,0.1277
ACH-000750,Paclitaxel,12530,0.3957,0.0465
ACH-000750,Rapamycin,12540,0.4405,0.1995
ACH-000750,Retinoic acid,12550,0.3823,0.1368
ACH-000750,Temsirolimus,12465,0.4251,0.1561
ACH-000750,Trametinib,12826,0.4378,0.2857
ACH-000750,Trametinib (DMSO_TF solvate),12019,0.5033,0.1743
ACH-000750,Vismodegib,12154,0.4043,0.1286
ACH-000750,crizotinib,11863,0.4254,0.0813
ACH-000750,olaparib,12459,0.8858,0.1337
ACH-000750,palbociclib,12343,0.4355,0.1355
ACH-000750,venetoclax,12359,0.4594,0.1234
ACH-000757,5-Azacytidine,12172,0.3899,0.1061
ACH-000757,5-Fluorouracil,12175,0.3672,0.083
ACH-000757,AZD-8055,12462,0.3916,0.1436
ACH-000757,Afatinib,12991,0.2852,0.1147
ACH-000757,Alpelisib,12372,0.3961,0.1405
ACH-000757,Bicalutamide,12349,0.3682,0.1062
ACH-000757,Bortezomib,12363,0.6193,0.314
ACH-000757,Capivasertib,12440,0.3549,0.0627
ACH-000757,Cytarabine,12631,0.3354,0.0795
ACH-000757,Dabrafenib,12487,0.3762,0.0397
ACH-000757,Dinaciclib,11314,1.4516,0.7739
ACH-000757,Docetaxel,12697,0.3949,0.2067
ACH-000757,Erlotinib,11805,0.3866,0.0481
ACH-000757,Fulvestrant,12226,0.3764,0.1174
ACH-000757,Gefitinib,12311,0.3609,0.0893
ACH-000757,Gemcitabine,12536,0.3734,0.0815
ACH-000757,Ipatasertib,12371,0.4432,0.0621
ACH-000757,Irinotecan,12459,0.3955,0.1524
ACH-000757,LJI308,12337,0.4921,0.2743
ACH-000757,Methotrexate,12112,0.3776,0.105
ACH-000757,Oxaliplatin,12489,0.3919,0.1362
ACH-000757,Paclitaxel,12567,0.3682,0.0377
ACH-000757,Rapamycin,12650,0.3668,0.1694
ACH-000757,Retinoic acid,12701,0.3229,0.0844
ACH-000757,Temsirolimus,12652,0.3677,0.1692
ACH-000757,Trametinib,12771,0.4272,0.3129
ACH-000757,Trametinib (DMSO_TF solvate),12012,0.4575,0.1782
ACH-000757,Vismodegib,12131,0.3653,0.0801
ACH-000757,crizotinib,11745,0.396,0.1097
ACH-000757,olaparib,12489,0.7832,0.1356
ACH-000757,palbociclib,12422,0.4064,0.1481
ACH-000757,venetoclax,12404,0.4452,0.1221
ACH-000790,5-Azacytidine,12509,0.3929,0.1086
ACH-000790,5-Fluorouracil,12524,0.3761,0.1159
ACH-000790,AZD-8055,11808,0.4644,0.0957
ACH-000790,Afatinib,12970,0.2873,0.0291
ACH-000790,Alpelisib,11677,0.4632,0.0722
ACH-000790,Bicalutamide,12704,0.3759,0.1292
ACH-000790,Bortezomib,11688,0.6254,0.2737
ACH-000790,Capivasertib,11755,0.4489,0.0865
ACH-000790,Cytarabine,12907,0.3238,0.0713
ACH-000790,Dabrafenib,11921,0.438,0.0292
ACH-000790,Dinaciclib,11712,1.3321,0.7105
ACH-000790,Docetaxel,12133,0.4254,0.1293
ACH-000790,Erlotinib,12136,0.3846,0.0616
ACH-000790,Fulvestrant,12513,0.3735,0.1115
ACH-000790,Gefitinib,12624,0.3425,0.0652
ACH-000790,Gemcitabine,12010,0.4406,0.0906
ACH-000790,Ipatasertib,11646,0.5837,0.0347
ACH-000790,Irinotecan,11913,0.4298,0.0778
ACH-000790,LJI308,11585,0.5227,0.1535
ACH-000790,Methotrexate,12454,0.3871,0.1174
ACH-000790,Oxaliplatin,11829,0.4603,0.1171
ACH-000790,Paclitaxel,12025,0.4389,0.0824
ACH-000790,Rapamycin,12123,0.4279,0.1534
ACH-000790,Retinoic acid,12191,0.3964,0.1017
ACH-000790,Temsirolimus,12070,0.4172,0.1013
ACH-000790,Trametinib,12799,0.4247,0.2562
ACH-000790,Trametinib (DMSO_TF solvate),12332,0.4301,0.1667
ACH-000790,Vismodegib,12485,0.3561,0.0768
ACH-000790,crizotinib,12076,0.3923,0.0842
ACH-000790,olaparib,11924,0.7388,0.1442
ACH-000790,palbociclib,11746,0.4503,0.0783
ACH-000790,venetoclax,11809,0.4982,0.1269
ACH-000793,5-Azacytidine,12105,0.4422,0.1272
ACH-000793,5-Fluorouracil,12212,0.4201,0.1481
ACH-000793,AZD-8055,12489,0.4661,0.1805
ACH-000793,Afatinib,13007,0.3012,0.0731
ACH-000793,Alpelisib,12371,0.4535,0.1708
ACH-000793,Bicalutamide,12347,0.413,0.1407
ACH-000793,Bortezomib,12418,0.6999,0.4157
ACH-000793,Capivasertib,12455,0.4024,0.0935
ACH-000793,Cytarabine,12632,0.3481,0.0634
ACH-000793,Dabrafenib,12456,0.4244,0.0819
ACH-000793,Dinaciclib,11181,1.3256,0.7091
ACH-000793,Docetaxel,12595,0.4764,0.2646
ACH-000793,Erlotinib,11705,0.4207,0.0449
ACH-000793,Fulvestrant,12229,0.4127,0.1072
ACH-000793,Gefitinib,12279,0.3774,0.0651
ACH-000793,Gemcitabine,12642,0.3922,0.1425
ACH-000793,Ipatasertib,12354,0.5325,0.1249
ACH-000793,Irinotecan,12588,0.4151,0.1597
ACH-000793,LJI308,12270,0.5192,0.2322
ACH-000793,Methotrexate,12073,0.4207,0.1083
ACH-000793,Oxaliplatin,12518,0.4344,0.1633
ACH-000793,Paclitaxel,12641,0.4268,0.1409
ACH-000793,Rapamycin,12574,0.4469,0.2272
ACH-000793,Retinoic acid,12657,0.3829,0.1284
ACH-000793,Temsirolimus,12539,0.4273,0.1645
ACH-000793,Trametinib,12829,0.4145,0.2751
ACH-000793,Trametinib (DMSO_TF solvate),11941,0.4645,0.1213
ACH-000793,Vismodegib,12105,0.4004,0.0893
ACH-000793,crizotinib,11545,0.4238,0.0671
ACH-000793,olaparib,12559,0.9835,0.2108
ACH-000793,palbociclib,12506,0.44,0.1567
ACH-000793,venetoclax,12506,0.4452,0.1498
ACH-000842,5-Azacytidine,12999,0.3685,0.1543
ACH-000842,5-Fluorouracil,12993,0.3334,0.1015
ACH-000842,AZD-8055,13047,0.4054,0.1682
ACH-000842,Afatinib,13454,0.2425,0.0227
ACH-000842,Alpelisib,12986,0.3912,0.142
ACH-000842,Bicalutamide,13117,0.3383,0.1582
ACH-000842,Bortezomib,13037,0.5849,0.3851
ACH-000842,Capivasertib,13060,0.3352,0.0991
ACH-000842,Cytarabine,13295,0.2928,0.0714
ACH-000842,Dabrafenib,13075,0.3599,0.0801
ACH-000842,Dinaciclib,12296,1.1697,0.6924
ACH-000842,Docetaxel,13183,0.3855,0.2643
ACH-000842,Erlotinib,12727,0.3495,0.041
ACH-000842,Fulvestrant,13047,0.335,0.111
ACH-000842,Gefitinib,13098,0.3077,0.0691
ACH-000842,Gemcitabine,13207,0.3555,0.1516
ACH-000842,Ipatasertib,13018,0.4237,-0.0178
ACH-000842,Irinotecan,13133,0.3758,0.2084
ACH-000842,LJI308,12965,0.417,0.193
ACH-000842,Methotrexate,12971,0.3538,0.1129
ACH-000842,Oxaliplatin,13094,0.3754,0.198
ACH-000842,Paclitaxel,13177,0.3817,0.1236
ACH-000842,Rapamycin,13182,0.3662,0.2166
ACH-000842,Retinoic acid,13229,0.3127,0.1379
ACH-000842,Temsirolimus,13153,0.358,0.1947
ACH-000842,Trametinib,13344,0.4549,0.4587
ACH-000842,Trametinib (DMSO_TF solvate),12864,0.5123,0.3695
ACH-000842,Vismodegib,12967,0.3284,0.1036
ACH-000842,crizotinib,12605,0.3697,0.1124
ACH-000842,olaparib,13099,0.8103,0.191
ACH-000842,palbociclib,13031,0.3772,0.1357
ACH-000842,venetoclax,13054,0.4233,0.2077
ACH-000853,5-Azacytidine,10104,0.5738,0.0677
ACH-000853,5-Fluorouracil,10057,0.5803,0.0754
ACH-000853,AZD-8055,10464,0.5731,0.108
ACH-000853,Afatinib,11482,0.4205,0.1137
ACH-000853,Alpelisib,10439,0.592,0.1032
ACH-000853,Bicalutamide,10348,0.5339,0.0337
ACH-000853,Bortezomib,10338,0.7843,0.2997
ACH-000853,Capivasertib,10431,0.5735,0.054
ACH-000853,Cytarabine,10900,0.4823,0.0652
ACH-000853,Dabrafenib,10572,0.5624,0.0253
ACH-000853,Dinaciclib,9528,0.9755,0.4225
ACH-000853,Docetaxel,10707,0.5796,0.1669
ACH-000853,Erlotinib,9800,0.5609,0.0072
ACH-000853,Fulvestrant,10138,0.5673,0.0797
ACH-000853,Gefitinib,10236,0.5418,0.0516
ACH-000853,Gemcitabine,10538,0.5634,0.0554
ACH-000853,Ipatasertib,10436,0.6666,0.0843
ACH-000853,Irinotecan,10469,0.6069,0.1211
ACH-000853,LJI308,10321,0.7295,0.2245
ACH-000853,Methotrexate,10021,0.59,0.0672
ACH-000853,Oxaliplatin,10562,0.557,0.081
ACH-000853,Paclitaxel,10640,0.5243,0.0032
ACH-000853,Rapamycin,10606,0.5674,0.1188
ACH-000853,Retinoic acid,10639,0.5313,0.0965
ACH-000853,Temsirolimus,10672,0.5485,0.11
ACH-000853,Trametinib,11140,0.4959,0.1193
ACH-000853,Trametinib (DMSO_TF solvate),10032,0.5726,0.0585
ACH-000853,Vismodegib,9992,0.5792,0.0787
ACH-000853,crizotinib,9704,0.5759,0.04
ACH-000853,olaparib,9828,0.6257,0.076
ACH-000853,palbociclib,10315,0.6657,0.1791
ACH-000853,venetoclax,10332,0.6281,0.1434
ACH-000861,5-Azacytidine,12579,0.3933,0.1193
ACH-000861,5-Fluorouracil,12621,0.4011,0.1609
ACH-000861,AZD-8055,12780,0.431,0.2031
ACH-000861,Afatinib,13212,0.2671,0.0369
ACH-000861,Alpelisib,12669,0.4266,0.154
ACH-000861,Bicalutamide,12798,0.365,0.1112
ACH-000861,Bortezomib,12705,0.6721,0.4212
ACH-000861,Capivasertib,12746,0.3777,0.0681
ACH-000861,Cytarabine,12964,0.3209,0.0497
ACH-000861,Dabrafenib,12813,0.3938,0.0636
ACH-000861,Dinaciclib,12007,1.1213,0.6566
ACH-000861,Docetaxel,12870,0.4904,0.2854
ACH-000861,Erlotinib,12251,0.4065,0.0802
ACH-000861,Fulvestrant,12668,0.3898,0.1141
ACH-000861,Gefitinib,12770,0.3587,0.0846
ACH-000861,Gemcitabine,12860,0.4027,0.1401
ACH-000861,Ipatasertib,12639,0.4862,0.0746
ACH-000861,Irinotecan,12853,0.417,0.1783
ACH-000861,LJI308,12643,0.4844,0.239
ACH-000861,Methotrexate,12550,0.3896,0.1081
ACH-000861,Oxaliplatin,12798,0.4181,0.195
ACH-000861,Paclitaxel,12932,0.3874,0.0961
ACH-000861,Rapamycin,12871,0.4069,0.1791
ACH-000861,Retinoic acid,12934,0.3437,0.1102
ACH-000861,Temsirolimus,12781,0.3978,0.1615
ACH-000861,Trametinib,13119,0.4503,0.3955
ACH-000861,Trametinib (DMSO_TF solvate),12367,0.5229,0.26
ACH-000861,Vismodegib,12561,0.3712,0.1008
ACH-000861,crizotinib,12160,0.4202,0.0915
ACH-000861,olaparib,12776,0.8505,0.1395
ACH-000861,palbociclib,12720,0.4145,0.1131
ACH-000861,venetoclax,12749,0.4487,0.1788
ACH-000875,5-Azacytidine,12302,0.3965,0.1244
ACH-000875,5-Fluorouracil,12368,0.3941,0.0959
ACH-000875,AZD-8055,12782,0.3734,0.093
ACH-000875,Afatinib,13202,0.2735,0.0673
ACH-000875,Alpelisib,12755,0.3773,0.1111
ACH-000875,Bicalutamide,12435,0.3901,0.101
ACH-000875,Bortezomib,12811,0.6254,0.4135
ACH-000875,Capivasertib,12769,0.3513,0.0638
ACH-000875,Cytarabine,12901,0.3255,0.0556
ACH-000875,Dabrafenib,12793,0.3681,0.0646
ACH-000875,Dinaciclib,12008,0.9794,0.6175
ACH-000875,Docetaxel,12810,0.4327,0.1782
ACH-000875,Erlotinib,12190,0.3829,0.0548
ACH-000875,Fulvestrant,12379,0.3866,0.0892
ACH-000875,Gefitinib,12472,0.3519,0.039
ACH-000875,Gemcitabine,12899,0.3636,0.1055
ACH-000875,Ipatasertib,12712,0.404,0.0141
ACH-000875,Irinotecan,12775,0.3812,0.1581
ACH-000875,LJI308,12641,0.4253,0.1691
ACH-000875,Methotrexate,12248,0.4114,0.1271
ACH-000875,Oxaliplatin,12797,0.3923,0.1772
ACH-000875,Paclitaxel,12904,0.3553,0.0687
ACH-000875,Rapamycin,12794,0.3647,0.1389
ACH-000875,Retinoic acid,12845,0.3302,0.078
ACH-000875,Temsirolimus,12777,0.3674,0.1309
ACH-000875,Trametinib,13052,0.3905,0.249
ACH-000875,Trametinib (DMSO_TF solvate),12375,0.4607,0.1739
ACH-000875,Vismodegib,12305,0.3867,0.0971
ACH-000875,crizotinib,12177,0.399,0.0765
ACH-000875,olaparib,12469,0.3788,0.0721
ACH-000875,palbociclib,12752,0.3807,0.0968
ACH-000875,venetoclax,12791,0.4312,0.1794
ACH-000890,5-Azacytidine,9446,0.5825,0.048
ACH-000890,5-Fluorouracil,9508,0.5785,0.0601
ACH-000890,AZD-8055,9944,0.5682,0.0398
ACH-000890,Afatinib,10904,0.4399,0.0677
ACH-000890,Alpelisib,9709,0.5938,0.0449
ACH-000890,Bicalutamide,9725,0.5535,0.0705
ACH-000890,Bortezomib,9726,0.7584,0.2209
ACH-000890,Capivasertib,9907,0.5836,0.0431
ACH-000890,Cytarabine,10101,0.4897,0.0238
ACH-000890,Dabrafenib,10095,0.5684,0.0109
ACH-000890,Dinaciclib,7963,1.1715,0.5339
ACH-000890,Docetaxel,10186,0.6385,0.1895
ACH-000890,Erlotinib,8760,0.6154,0.0289
ACH-000890,Fulvestrant,9530,0.5662,0.0561
ACH-000890,Gefitinib,9709,0.5476,0.0502
ACH-000890,Gemcitabine,10236,0.5794,0.0614
ACH-000890,Ipatasertib,9814,0.7462,0.0184
ACH-000890,Irinotecan,10162,0.5662,0.0609
ACH-000890,LJI308,9707,0.715,0.154
ACH-000890,Methotrexate,9394,0.5906,0.0579
ACH-000890,Oxaliplatin,10015,0.5921,0.0723
ACH-000890,Paclitaxel,10327,0.5325,0.0146
ACH-000890,Rapamycin,10239,0.5329,0.0731
ACH-000890,Retinoic acid,10285,0.5156,0.0581
ACH-000890,Temsirolimus,10150,0.5622,0.0978
ACH-000890,Trametinib,10668,0.5059,0.1105
ACH-000890,Trametinib (DMSO_TF solvate),9120,0.6238,0.0621
ACH-000890,Vismodegib,9365,0.5808,0.0797
ACH-000890,crizotinib,8440,0.6391,0.0362
ACH-000890,olaparib,8297,0.6725,0.0396
ACH-000890,palbociclib,9821,0.5926,0.054
ACH-000890,venetoclax,9906,0.6113,0.0746
ACH-000900,5-Azacytidine,12361,0.4045,0.1337
ACH-000900,5-Fluorouracil,12401,0.3804,0.1094
ACH-000900,AZD-8055,12626,0.4029,0.0915
ACH-000900,Afatinib,13091,0.2907,0.0848
ACH-000900,Alpelisib,12507,0.4194,0.0856
ACH-000900,Bicalutamide,12549,0.3696,0.0981
ACH-000900,Bortezomib,12583,0.593,0.2961
ACH-000900,Capivasertib,12572,0.3796,0.0738
ACH-000900,Cytarabine,12701,0.329,0.0324
ACH-000900,Dabrafenib,12678,0.3989,0.0857
ACH-000900,Dinaciclib,11347,1.3581,0.7218
ACH-000900,Docetaxel,12783,0.438,0.2563
ACH-000900,Erlotinib,11921,0.4047,0.0359
ACH-000900,Fulvestrant,12431,0.3755,0.0885
ACH-000900,Gefitinib,12509,0.3592,0.0755
ACH-000900,Gemcitabine,12742,0.3842,0.1143
ACH-000900,Ipatasertib,12570,0.4662,0.0512
ACH-000900,Irinotecan,12718,0.3908,0.1384
ACH-000900,LJI308,12482,0.4775,0.2018
ACH-000900,Methotrexate,12324,0.4033,0.0919
ACH-000900,Oxaliplatin,12664,0.423,0.1708
ACH-000900,Paclitaxel,12711,0.3741,0.0514
ACH-000900,Rapamycin,12771,0.3943,0.1965
ACH-000900,Retinoic acid,12815,0.35,0.1296
ACH-000900,Temsirolimus,12714,0.4008,0.1856
ACH-000900,Trametinib,12943,0.4777,0.4168
ACH-000900,Trametinib (DMSO_TF solvate),11934,0.5543,0.2883
ACH-000900,Vismodegib,12310,0.3796,0.1055
ACH-000900,crizotinib,11796,0.4197,0.0921
ACH-000900,olaparib,12646,0.7903,0.1159
ACH-000900,palbociclib,12573,0.4006,0.0992
ACH-000900,venetoclax,12623,0.444,0.1577
ACH-000916,5-Azacytidine,12447,0.4275,0.0953
ACH-000916,5-Fluorouracil,12505,0.4165,0.1192
ACH-000916,AZD-8055,12763,0.439,0.1515
ACH-000916,Afatinib,13185,0.3151,0.1095
ACH-000916,Alpelisib,12748,0.4256,0.1556
ACH-000916,Bicalutamide,12606,0.3943,0.0753
ACH-000916,Bortezomib,12712,0.6661,0.3982
ACH-000916,Capivasertib,12766,0.3775,0.0883
ACH-000916,Cytarabine,12868,0.3414,0.047
ACH-000916,Dabrafenib,12783,0.4062,0.0886
ACH-000916,Dinaciclib,11638,1.2413,0.6285
ACH-000916,Docetaxel,12836,0.4174,0.2264
ACH-000916,Erlotinib,12158,0.4263,0.0486
ACH-000916,Fulvestrant,12527,0.4052,0.0884
ACH-000916,Gefitinib,12527,0.3758,0.0308
ACH-000916,Gemcitabine,12903,0.3766,0.1069
ACH-000916,Ipatasertib,12703,0.4705,0.0447
ACH-000916,Irinotecan,12821,0.405,0.1523
ACH-000916,LJI308,12657,0.4702,0.1806
ACH-000916,Methotrexate,12406,0.4189,0.102
ACH-000916,Oxaliplatin,12809,0.419,0.1869
ACH-000916,Paclitaxel,12891,0.3896,0.0969
ACH-000916,Rapamycin,12848,0.4246,0.2301
ACH-000916,Retinoic acid,12896,0.3525,0.1183
ACH-000916,Temsirolimus,12832,0.4094,0.1694
ACH-000916,Trametinib,13088,0.4571,0.3795
ACH-000916,Trametinib (DMSO_TF solvate),12340,0.5351,0.2735
ACH-000916,Vismodegib,12408,0.4128,0.0911
ACH-000916,crizotinib,12018,0.4472,0.1033
ACH-000916,olaparib,12795,0.8384,0.0833
ACH-000916,palbociclib,12769,0.4082,0.0934
ACH-000916,venetoclax,12758,0.4695,0.2048
ACH-000927,5-Azacytidine,11828,0.4531,0.1089
ACH-000927,5-Fluorouracil,11886,0.434,0.1029
ACH-000927,AZD-8055,12471,0.4863,0.1888
ACH-000927,Afatinib,12845,0.4497,0.277
ACH-000927,Alpelisib,12393,0.456,0.1387
ACH-000927,Bicalutamide,12024,0.4235,0.0936
ACH-000927,Bortezomib,12461,0.6343,0.344
ACH-000927,Capivasertib,12459,0.4065,0.0961
ACH-000927,Cytarabine,12376,0.3784,0.0622
ACH-000927,Dabrafenib,12468,0.4225,0.104
ACH-000927,Dinaciclib,10935,0.9513,0.5268
ACH-000927,Docetaxel,12633,0.4457,0.1876
ACH-000927,Erlotinib,11324,0.5199,0.1078
ACH-000927,Fulvestrant,11902,0.4527,0.11
ACH-000927,Gefitinib,11985,0.4515,0.0699
ACH-000927,Gemcitabine,12622,0.4056,0.1309
ACH-000927,Ipatasertib,12375,0.4948,0.0401
ACH-000927,Irinotecan,12544,0.4128,0.1215
ACH-000927,LJI308,12328,0.4851,0.1934
ACH-000927,Methotrexate,11822,0.4539,0.0809
ACH-000927,Oxaliplatin,12546,0.4366,0.1255
ACH-000927,Paclitaxel,12649,0.4051,0.0964
ACH-000927,Rapamycin,12583,0.4399,0.1961
ACH-000927,Retinoic acid,12653,0.3806,0.1054
ACH-000927,Temsirolimus,12549,0.4379,0.1547
ACH-000927,Trametinib,12737,0.4711,0.3675
ACH-000927,Trametinib (DMSO_TF solvate),11570,0.5838,0.2535
ACH-000927,Vismodegib,11826,0.4333,0.1029
ACH-000927,crizotinib,11196,0.4826,0.0738
ACH-000927,olaparib,12480,0.8093,0.043
ACH-000927,palbociclib,12455,0.4285,0.1402
ACH-000927,venetoclax,12445,0.4558,0.1329
ACH-000932,5-Azacytidine,11395,0.4801,0.1488
ACH-000932,5-Fluorouracil,11476,0.4674,0.1602
ACH-000932,AZD-8055,11092,0.512,0.1084
ACH-000932,Afatinib,12285,0.3462,0.0713
