patient,drug,n_rows,n_plates,n_plates_half0,n_plates_half1,n_dose_levels
ACH-000493,Dabrafenib,188130,3,1,2,3
ACH-000493,Dinaciclib,188130,3,1,2,3
ACH-000493,Docetaxel,250840,4,2,2,3
ACH-000493,Erlotinib,188130,3,1,2,3
ACH-000493,Fulvestrant,188130,3,1,2,3
ACH-000493,Gefitinib,188130,3,1,2,3
ACH-000493,Gemcitabine,188130,3,1,2,3
ACH-000493,Ipatasertib,188130,3,1,2,3
ACH-000493,Irinotecan,188130,3,1,2,3
ACH-000493,LJI308,188130,3,1,2,3
ACH-000493,Methotrexate,188130,3,1,2,3
ACH-000493,Oxaliplatin,188130,3,1,2,3
ACH-000493,Paclitaxel,188130,3,1,2,3
ACH-000493,Rapamycin,250840,4,2,2,3
ACH-000493,Retinoic acid,250840,4,2,2,3
ACH-000493,Ribociclib,188130,1,1,0,3
ACH-000493,Temsirolimus,250840,4,2,2,3
ACH-000493,Trametinib,376260,6,2,4,3
ACH-000493,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000493,Vismodegib,188130,3,1,2,3
ACH-000493,crizotinib,188130,3,1,2,3
ACH-000493,olaparib,250840,4,2,2,3
ACH-000493,palbociclib,188130,3,1,2,3
ACH-000493,venetoclax,188130,3,1,2,3
ACH-000496,5-Azacytidine,188130,3,1,2,3
ACH-000496,5-Fluorouracil,188130,3,1,2,3
ACH-000496,AZD-8055,188130,3,1,2,3
ACH-000496,Afatinib,564390,7,3,4,3
ACH-000496,Alpelisib,188130,3,1,2,3
ACH-000496,Bicalutamide,188130,3,1,2,3
ACH-000496,Bortezomib,188130,3,1,2,3
ACH-000496,Capivasertib,188130,3,1,2,3
ACH-000496,Cytarabine,376260,4,2,2,3
ACH-000496,Dabrafenib,188130,3,1,2,3
ACH-000496,Dinaciclib,188130,3,1,2,3
ACH-000496,Docetaxel,250840,4,2,2,3
ACH-000496,Erlotinib,188130,3,1,2,3
ACH-000496,Fulvestrant,188130,3,1,2,3
ACH-000496,Gefitinib,188130,3,1,2,3
ACH-000496,Gemcitabine,188130,3,1,2,3
ACH-000496,Ipatasertib,188130,3,1,2,3
ACH-000496,Irinotecan,188130,3,1,2,3
ACH-000496,LJI308,188130,3,1,2,3
ACH-000496,Methotrexate,188130,3,1,2,3
ACH-000496,Oxaliplatin,188130,3,1,2,3
ACH-000496,Paclitaxel,188130,3,1,2,3
ACH-000496,Rapamycin,250840,4,2,2,3
ACH-000496,Retinoic acid,250840,4,2,2,3
ACH-000496,Ribociclib,188130,1,1,0,3
ACH-000496,Temsirolimus,250840,4,2,2,3
ACH-000496,Trametinib,376260,6,2,4,3
ACH-000496,Trametinib (DMSO_TF solvate),188130,3,1,2,3
ACH-000496,Vismodegib,188130,3,1,2,3
ACH-000496,crizotinib,188130,3,1,2,3
ACH-000496,olaparib,188130,3,2,1,3
ACH-000496,palbociclib,188130,3,1,2,3
ACH-000496,venetoclax,188130,3,1,2,3
ACH-000521,5-Azacytidine,188130,3,1,2,3
ACH-000521,5-Fluorouracil,188130,3,1,2,3
ACH-000521,AZD-8055,188130,3,1,2,3
ACH-000521,Afatinib,564390,7,3,4,3
ACH-000521,Alpelisib,188130,3,1,2,3
ACH-000521,Bicalutamide,188130,3,1,2,3
ACH-000521,Bortezomib,188130,3,1,2,3
ACH-000521,Capivasertib,188130,3,1,2,3
ACH-000521,Cytarabine,376260,4,2,2,3
ACH-000521,Dabrafenib,188130,3,1,2,3
ACH-000521,Dinaciclib,188130,3,1,2,3
ACH-000521,Docetaxel,250840,4,2,2,3
