,tahoe,stack_cytokine,stack_drug_aligned,sciplex,l1000,gdsc2_all,gdsc2_sarcoma,sarcoma_organoids
tahoe,53393,14588,14588,30168,11848,12597,12597,12625
stack_cytokine,14588,15012,15012,14509,8865,12788,12788,12816
stack_drug_aligned,14588,15012,15012,14509,8865,12788,12788,12816
sciplex,30168,14509,14509,58347,12167,12553,12553,12580
l1000,11848,8865,8865,12167,12328,8600,8600,8611
gdsc2_all,12597,12788,12788,12553,8600,12788,12788,12788
gdsc2_sarcoma,12597,12788,12788,12553,8600,12788,12788,12788
sarcoma_organoids,12625,12816,12816,12580,8611,12788,12788,12816
