source,method,global,interaction,perdrug,p_label,null_p95,null_sd,regret@1,regret@3,n,z_random,p_random,random_mean,n_random_draws
stack_cytokine,l2,0.591,0.04,-0.114,0.1419,0.059,0.037,0.404,0.09,1249.0,0.83,0.1429,-0.0,20.0
stack_cytokine_random,en,0.616,0.018,-0.258,0.3437,0.066,0.041,0.237,0.091,1249.0,,,,
stack_cytokine_random,l1,0.617,0.02,-0.251,0.3407,0.069,0.041,0.24,0.098,1249.0,,,,
stack_cytokine_random,l2,0.618,0.014,-0.21,0.3497,0.059,0.036,0.25,0.106,1249.0,,,,
stack_drug_aligned,en,0.553,0.018,-0.211,0.3157,0.062,0.036,0.352,0.194,1249.0,0.21,0.619,0.007,20.0
stack_drug_aligned,l1,0.551,0.009,-0.212,0.4176,0.06,0.035,0.345,0.18,1249.0,-0.02,0.5714,0.01,20.0
stack_drug_aligned,l2,0.516,-0.053,-0.136,0.9241,0.061,0.037,0.385,0.135,1249.0,-0.96,0.8095,-0.007,20.0
stack_drug_aligned_random,en,0.609,0.033,-0.176,0.2018,0.065,0.039,0.255,0.141,1249.0,,,,
stack_drug_aligned_random,l1,0.611,0.044,-0.186,0.1359,0.065,0.039,0.269,0.141,1249.0,,,,
stack_drug_aligned_random,l2,0.623,0.048,-0.231,0.0709,0.056,0.034,0.246,0.115,1249.0,,,,
